Constituency,DistrictEnglish,DistrictNepali,CandidateEnglish,CandidateNepali,Source,Title,URL,Snippet,Content,RelevanceScore,ScrapedAt
5,jhapa,झापा,Amrit Rasaili,अमृत रसाइलि,OnlineKhabar EN,A new test for Oli as Balen gains ground in Jhapa-5,https://english.onlinekhabar.com/oli-vs-balen-gains-ground-in-jhapa-5.html,,"A new test for Oli as Balen gains ground in Jhapa-5 Prasun Sangroula Friday, February 27, 2026 0 Comments Jhapa: As Nepal approaches its parliamentary elections on March 5, the political atmosphere across the country has grown increasingly charged. Specifically in  Jhapa-5, the contest appears particularly intense because it features K.P. Sharma Oli, chairman of the Communist Party of Nepal (Unified Marxist–Leninist), against Balendra Shah, widely known as Balen, a senior leader of the Rastriya Swatantra Party (RSP). Both men are viewed as potential prime ministerial contenders if their parties secure enough seats in Parliament. Jhapa-5 has long been considered Oli’s political stronghold. With the exception of the elections held around the 2006 people’s movement, he has consistently won here. Yet this year, the mood appears different. From tea shops and neighbourhood gatherings to street vendors and rickshaw drivers, conversations suggest that  Oli’s victory is no longer viewed as inevitable. When Balen arrived in Damak on January 20 to file his candidacy , an unusually large crowd gathered at the town square, a scene not witnessed for other challengers in previous elections. Since that day, his presence in the constituency has been difficult to ignore. Who ultimately prevails will be determined only after ballots are counted. But Balen’s growing visibility has become a central feature of the campaign. A long-time UML party activist in Jhapa-5, speaking on condition of anonymity, said he had decided to vote for Balen in the direct race. “We supported K.P. Oli for many years, but now we have little hope left,” he says. “With someone new, at least there is a possibility of change.” The activist, who lives in an informal settlement, said Oli had repeatedly promised land ownership certificates to residents but failed to deliver. “We stood by him continuously. But this time we will not accept what we see as false assurances.” Such defections are unusual in a constituency widely regarded as a UML bastion. The activist added that while he would vote for Balen in the first-past-the-post race, he would still support UML under the proportional representation system. Another local party worker from the Nepali Congress, also speaking anonymously, described Balen’s influence as “genuinely strong.” He said he planned to vote for his party under proportional representation but would support the Rastriya Swatantra Party in the direct contest. “From what we see on the ground, either Balen or the Rastriya Swatantra Party could come out on top,” he says, adding that the Congress candidate appeared comparatively weak. “This constituency has trusted Oli many times, but people feel the expected results did not follow.” Local grievances extend beyond partisan politics. Landowners affected by the proposed East–West railway project say their property has been frozen for years without compensation. Some residents blame Oli for failing to resolve the issue during his tenure. The extent to which K.P. Sharma Oli has been going door to door seeking votes during this campaign suggests that the situation in Jhapa-5 is different from previous elections. The kinds of questions he has faced from voters while canvassing further indicate that he may encounter significant challenges in securing victory this time. “Although he has not appeared equally active in the nationwide campaign, Oli’s heightened focus on Jhapa-5 signals that he is facing a tougher contest here compared with past years,” says Sagar Siwakoti, a political analyst based in Jhapa. Balen’s influence in Jhapa-5 has grown so markedly that his door-to-door events now draw unusually large crowds, at times making it difficult to carry out the campaign effectively. Development has not been absent from Jhapa-5, said Madan Rajbanshi, Editor in Chief of the local media Gauriganj Darpan . But he noted that many projects have been concentrated in Damak, leaving areas such as Gauradaha and Gauriganj feeling neglected. Kankai River Bridge. Photo: Prasun Sangroula A bridge over the Kankai River along the Hulaki Highway has remained incomplete for 14 years. Another bridge over the Ratuwa River was finished only this year, after 17 years of delays and sustained public pressure. In the 2017 election campaign, Oli pledged to modernise the customs office in Gauriganj, but little progress has been made since. In parts of Gauradaha, unresolved land-mapping issues dating back decades have prevented property owners from securing bank loans or conducting formal transactions. Oli has repeatedly promised a solution, but the matter remains unsettled. “These are the reasons many voters in Gauradaha-4 and parts of Ward 5 may not support Oli this time,” Rajbanshi said. Santosh Dulal, a Jhapa-5 resident who is currently working closely with Balen, said public frustration with established leaders has deepened. “People are disillusioned with traditional politicians,” he says. “They feel their basic needs have ",11.0,2026-03-05T10:51:50.185442
5,jhapa,झापा,Amrit Rasaili,अमृत रसाइलि,Ratopati,श्रम संस्कृति पार्टीका अध्यक्ष हर्क साम्पाङद्वारा मतदान,https://www.ratopati.com/story/548128/labor-culture-party-chairman-sampang-casts-his-vote,,"श्रम संस्कृति पार्टीका अध्यक्ष हर्क साम्पाङद्वारा मतदान रासस बिहीबार, २१ फागुन २०८२, १० : ३९ रासस बिहीबार, २१ फागुन २०८२ सुनसरी । श्रम संस्कृति पार्टीका अध्यक्ष हर्कराज राई ‘साम्पाङ’ले धरान उपमहानगरपालिका–१८ स्थित कार्मेल बोर्डिङ स्कुल मतदान केन्द्रमा मतदान गरेका छन्। धरान उपमहानगरपालिकाका पूर्वप्रमुख उनी सुनसरी क्षेत्र नम्बर १ बाट उम्मेदवार छन् । यो क्षेत्रका सबै मतदान केन्द्रमा बिहानैदेखि मतदाताको बाक्लो उपस्थिति रहेको र शान्तिपूर्ण रूपमा मतदान भइरहेको छ । यहाँ एक लाख ५० हजार ३९३ मतदाता छन् । हर्क साम्पाङ खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रासस राष्ट्रिय समाचार समिति नेपालकाे  सरकारी समाचार संस्था हाे । लेखकबाट थप भर्खरै इरानमाथि अमेरिका र इजरायलको आक्रमण संयुक्त राष्ट्रसंघीय बडापत्र विपरीत: राष्ट्रसंघ एमाले उम्मेदवार नेम्वाङले गरे मतदान मध्यपूर्वमा बढ्दो तनावले सुनको मूल्यमा नयाँ रेकर्ड गृहमन्त्रीद्वारा निर्वाचनको ‘मनिटरिङ’ ६५ प्रतिशत मत खस्ने आयोगको अनुमान सुदूरपश्चिममा शान्तिपूर्ण रूपमा मतदान जारी (फोटोहरू) ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. ललितपुरमा प्रहरीमाथि शृङ्खलाबद्ध आक्रमण : चाँगाथलीमा हवाई फायर, झम्सीखेलमा कुटपिट ३. सर्लाही–३ का रास्वपा उम्मेदवार कलवार कालोसूचीमा ४. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ५. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ६. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. कर्मचारीमाथि हातपात गर्न खोजेपछि दोलखामा हवाई फायर छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",8.5,2026-03-05T10:51:50.185454
5,jhapa,झापा,Amrit Rasaili,अमृत रसाइलि,Ratopati,कांग्रेस नेता कोइरालाले गरे मतदान,https://www.ratopati.com/story/548097/congress-leader-koirala-casts-his-vote,,"कांग्रेस नेता कोइरालाले गरे मतदान रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२, ०९ : ३६ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२ मोरङ । नेपाली कांग्रेसका नेता एवं प्रतिनिधिसभा सदस्य उम्मेदवार शेखर कोइरालाले मतदान गरेका छन् । मोरङ क्षेत्र नं. ६ का कांग्रेसका उम्मेदवार  कोइरालाले विराटनगर वार्ड नं.७ स्थित आदर्श विद्यालयमा मतदान गरेका हुन् । कांग्रेस नेता कोइरालाले गरे मतदान खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रातोपाटी संवाददाता ‘सबैको, सबैभन्दा राम्रो’ रातोपाटी डटकम। लेखकबाट थप भर्खरै इरानमाथि अमेरिका र इजरायलको आक्रमण संयुक्त राष्ट्रसंघीय बडापत्र विपरीत: राष्ट्रसंघ एमाले उम्मेदवार नेम्वाङले गरे मतदान मध्यपूर्वमा बढ्दो तनावले सुनको मूल्यमा नयाँ रेकर्ड गृहमन्त्रीद्वारा निर्वाचनको ‘मनिटरिङ’ ६५ प्रतिशत मत खस्ने आयोगको अनुमान सुदूरपश्चिममा शान्तिपूर्ण रूपमा मतदान जारी (फोटोहरू) ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. ललितपुरमा प्रहरीमाथि शृङ्खलाबद्ध आक्रमण : चाँगाथलीमा हवाई फायर, झम्सीखेलमा कुटपिट ३. सर्लाही–३ का रास्वपा उम्मेदवार कलवार कालोसूचीमा ४. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ५. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ६. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. राष्ट्रिय सुरक्षा परिषद्को बैठकले के गर्‍याे निर्णय ? छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",8.5,2026-03-05T10:51:50.185456
5,jhapa,झापा,Amrit Rasaili,अमृत रसाइलि,Ratopati,एमाले उम्मेदवार नेम्वाङले गरे मतदान,https://www.ratopati.com/story/548133/uml-candidate-nembang-casts-his-vote,,"एमाले उम्मेदवार नेम्वाङले गरे मतदान रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२, १० : ४४ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२ काठमाडौँ । इलाम–२ बाट प्रतिनिधिसभा सदस्य पदको उम्मेदवार सुहाङ नेम्वाङले मतदान गरेका छन् । उनले मरब क्याम्पस इलाम मतदान केन्द्रबाट मतदान गरेका हुन् । एमाले उम्मेदवार नेम्वाङले गरे मतदान खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रातोपाटी संवाददाता ‘सबैको, सबैभन्दा राम्रो’ रातोपाटी डटकम। लेखकबाट थप भर्खरै इरानमाथि अमेरिका र इजरायलको आक्रमण संयुक्त राष्ट्रसंघीय बडापत्र विपरीत: राष्ट्रसंघ एमाले उम्मेदवार नेम्वाङले गरे मतदान मध्यपूर्वमा बढ्दो तनावले सुनको मूल्यमा नयाँ रेकर्ड गृहमन्त्रीद्वारा निर्वाचनको ‘मनिटरिङ’ ६५ प्रतिशत मत खस्ने आयोगको अनुमान सुदूरपश्चिममा शान्तिपूर्ण रूपमा मतदान जारी (फोटोहरू) ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. ललितपुरमा प्रहरीमाथि शृङ्खलाबद्ध आक्रमण : चाँगाथलीमा हवाई फायर, झम्सीखेलमा कुटपिट ३. सर्लाही–३ का रास्वपा उम्मेदवार कलवार कालोसूचीमा ४. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ५. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ६. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. राष्ट्रिय सुरक्षा परिषद्को बैठकले के गर्‍याे निर्णय ? छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",7.5,2026-03-05T10:51:50.185458
5,jhapa,झापा,Amrit Rasaili,अमृत रसाइलि,Ratopati,बहुमत पार्टीका मोरङ इन्चार्ज र सचिव पक्राउ,https://www.ratopati.com/story/548108/morang-in-charge-and-secretary-of-majority-party-arrested,,"बहुमत पार्टीका मोरङ इन्चार्ज र सचिव पक्राउ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२, ०९ : ५९ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२ सारांश प्रतिनिधिसभा निर्वाचन बहिस्कार गर्ने नेकपा बहुमत पार्टीका नेताहरू मोरङमा पक्राउ परे। प्रहरीले निर्वाचन विरोधी गतिविधिमा संलग्न रहेको आरोपमा उनीहरूलाई पक्राउ गरेको हो। पक्राउ परेका नेताहरूबाट मोटरसाइकल, मोबाइल र पार्टीको झण्डा बरामद गरियो। काठमाडौँ । प्रतिनिधिसभा निर्वाचन बहिस्कार गर्ने नेकपा बहुमत पार्टीका मोरङ जिल्ला इन्चार्ज कृष्ण प्रसाद चम्लागाई र जिल्ला सचिव सुमन पौडेल पक्राउ परेका छन् ।उनीहरूलाई बुधबार साँझ इलाका प्रहरी कार्यालय पथरीबाट खटिएको प्रहरी टोलीले निर्वाचन विरोधी गतिविधिमा संलग्न रहेको पाइएपछि मोरङको कानेपोखरी गाँउपालिका–६ बुद्ध चौकबाट पक्राउ गरेको मोरङ प्रहरी प्रवक्ता प्रहरी नायब उपरीक्षक हरिनन्दन चौधरीले जानकारी दिएका छन् । चौधरीले जारी गरेको विज्ञप्तिमा  को ६ प ५११६ नम्बरको मोटरसाईकल, विभिन्न कम्पनीका ५ थान मोवाइल, बहुमत पार्टीको झण्डालगायतका सामग्री पनि बरामद गरिएको जानकारी विज्ञप्तिमा उल्लेख गरेका छन् । पक्राउ नेकपा बहुमत खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रातोपाटी संवाददाता ‘सबैको, सबैभन्दा राम्रो’ रातोपाटी डटकम। लेखकबाट थप भर्खरै इरानमाथि अमेरिका र इजरायलको आक्रमण संयुक्त राष्ट्रसंघीय बडापत्र विपरीत: राष्ट्रसंघ एमाले उम्मेदवार नेम्वाङले गरे मतदान मध्यपूर्वमा बढ्दो तनावले सुनको मूल्यमा नयाँ रेकर्ड गृहमन्त्रीद्वारा निर्वाचनको ‘मनिटरिङ’ ६५ प्रतिशत मत खस्ने आयोगको अनुमान सुदूरपश्चिममा शान्तिपूर्ण रूपमा मतदान जारी (फोटोहरू) ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. ललितपुरमा प्रहरीमाथि शृङ्खलाबद्ध आक्रमण : चाँगाथलीमा हवाई फायर, झम्सीखेलमा कुटपिट ३. सर्लाही–३ का रास्वपा उम्मेदवार कलवार कालोसूचीमा ४. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ५. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ६. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. कर्मचारीमाथि हातपात गर्न खोजेपछि दोलखामा हवाई फायर छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",7.5,2026-03-05T10:51:50.185459
5,jhapa,झापा,Amrit Rasaili,अमृत रसाइलि,OnlineKhabar EN,"Only 11 parties, 1,670 candidates open bank accounts for house polls",https://english.onlinekhabar.com/only-11-parties-1670-candidates-open-bank-accounts-for-house-polls.html,,"Only 11 parties, 1,670 candidates open bank accounts for house polls Onlinekhabar Friday, February 27, 2026 0 Comments Kathmandu, February 27 Of the 3,406 first-past-the-post candidates who filed nominations for the House of Representatives election scheduled for March 5 (Falgun 21), only 1,670 have opened bank accounts, according to the Election Commission. Similarly, out of the 65 political parties participating in the election, only 11 have opened bank accounts. According to Sita Poudel Shrestha, Assistant Spokesperson of the Election Commission, the parties that have opened accounts so far are Nepali Congress, Rastriya Janamorcha, CPN United, Communist Party of Nepal (CPN), Nepali Party for Nepal, Janata Samajwadi Party (JSP), Unified Citizens Party, Miteri Party, Nepal Janata Protection Party, Nepal Workers and Peasants Party, and Rastriya Janamukti Party. The provision to open bank accounts has been introduced to ensure transparency in financial assistance received by political parties and candidates, to enforce the spending limits set by election law, and to facilitate effective monitoring. According to the House of Representatives Election Campaign Bank Account (Operation and Management) Procedure, 2082, all political parties registered with the Commission for participating in the election under both the proportional representation and first-past-the-post systems, along with their candidates and independent candidates, are required to open bank accounts for election campaigning as per the procedure. They have been instructed to conduct all income and expenditure transactions related to financial assistance through the designated bank accounts. —RSS React to this post Hot Topics election march 5 voting sushile karki Conversation New Old Popular Related News Prime Minister Sushila Karki casts her vote 1 hour ago Voting begins across Nepal for House of Representatives Elections 1 hour ago Inside election preparations in Jhapa-5 (Photos) 15 hours ago Nepal Airlines cancels Dammam and Doha flights on Wednesday and Thursday 20 hours ago Central Security Committee meeting decides to conduct aerial patrol on election day 20 hours ago Gold price drops by Rs 11,000 per tola in a single day 20 hours ago Most Read A new test for Oli as Balen gains ground in Jhapa-5 Holi colours and skin health: Risks and precautions 481 licensed firearms handed to administration in Madhesh Only 11 parties, 1,670 candidates open bank accounts for house polls Nepal Embassy in UAE urges Nepali citizens to avoid unnecessary travel Subscribe to our newsletter Subscribe to Onlinekhabar English to get notified of exclusive news stories. Editor's Pick Economy Budget ceiling set lower for FY 2083/84 as government moves to curb overspending trend 2 weeks ago Editor's Pick Nepal’s election campaign gains pace but manifestos remain absent 1 month ago Editor's Pick Meet Sharda Kumari Paudel, first female principal of Nepal’s oldest school 3 months ago Editor's Pick Fearless and unbound Nepali youth make historic wheelchair bungee jump 3 months ago Food & beverage Know what are yomaris and learn how to cook them on your own 3 months ago Also Read Politics Prime Minister Sushila Karki casts her vote 1 hour ago Politics Voting begins across Nepal for House of Representatives Elections 1 hour ago Politics Inside election preparations in Jhapa-5 (Photos) 15 hours ago Politics Home Ministry confirms election security and arrangements finalised across all 77 districts 23 hours ago Politics How long will government formation take after the election? 1 day ago",7.0,2026-03-05T10:51:50.185461
5,jhapa,झापा,Amrit Rasaili,अमृत रसाइलि,OnlineKhabar EN,481 licensed firearms handed to administration in Madhesh,https://english.onlinekhabar.com/481-licensed-firearms-handed-to-administration-in-madhesh.html,,"481 licensed firearms handed to administration in Madhesh Rastriya Samachar Samiti (RSS) Friday, February 27, 2026 0 Comments File Janakpurdham, February 27 Four hundred and eighty-one firearms (guns) have been handed to the district administration in Madhesh Province, in response to the notice issued targeting the House of Representatives elections. According to the Madhesh Province Police Office, Janakpurdham, weapons have been received in that number to date following the notice issued by the district administration offices under the province to conduct the election in a free and fearless environment. Although there are records that various individuals in eight districts in the Province have obtained 2,531 licensed firearms, the office has stated that only 481 have been received so far. There are still 2,050 firearms remaining to be surrendered. The local administration had issued a notice to surrender weapons to the nearest police unit or district police office. React to this post Hot Topics election march 5 voting sushile karki Rastriya Samachar Samiti (RSS) RSS is a government-run national news portal of Nepal. More From the Author Conversation New Old Popular Related News Cold wave hits Madhesh, poor families left to endure freezing nights 2 months ago Madhesh Chief Minister to expand cabinet today, seek vote of confidence on Poush 4 3 months ago Deepening Madhesh turmoil leaves UML increasingly isolated 3 months ago Violence erupts in Madhesh over Chief Minister’s appointment 4 months ago Children drowning in water-filled pits emerging as major crisis in Madhesh 7 months ago Drought-stricken Madhesh finds hope in conservation ponds (Photos) 7 months ago Most Read A new test for Oli as Balen gains ground in Jhapa-5 Holi colours and skin health: Risks and precautions 481 licensed firearms handed to administration in Madhesh Only 11 parties, 1,670 candidates open bank accounts for house polls Nepal Embassy in UAE urges Nepali citizens to avoid unnecessary travel Subscribe to our newsletter Subscribe to Onlinekhabar English to get notified of exclusive news stories. Editor's Pick Economy Budget ceiling set lower for FY 2083/84 as government moves to curb overspending trend 2 weeks ago Editor's Pick Nepal’s election campaign gains pace but manifestos remain absent 1 month ago Editor's Pick Meet Sharda Kumari Paudel, first female principal of Nepal’s oldest school 3 months ago Editor's Pick Fearless and unbound Nepali youth make historic wheelchair bungee jump 3 months ago Food & beverage Know what are yomaris and learn how to cook them on your own 3 months ago Also Read Politics Prime Minister Sushila Karki casts her vote 1 hour ago Politics Voting begins across Nepal for House of Representatives Elections 1 hour ago Politics Inside election preparations in Jhapa-5 (Photos) 15 hours ago Politics Home Ministry confirms election security and arrangements finalised across all 77 districts 23 hours ago Politics How long will government formation take after the election? 1 day ago",6.5,2026-03-05T10:51:50.185462
5,jhapa,झापा,Amrit Rasaili,अमृत रसाइलि,OnlineKhabar EN,Holi colours and skin health: Risks and precautions,https://english.onlinekhabar.com/holi-colours-and-skin-health-risks-and-precautions.html,,"Holi colours and skin health: Risks and precautions Onlinekhabar Friday, February 27, 2026 0 Comments File Holi is not just a festival of colours; it celebrates the arrival of spring, social harmony, and joy. The festival is also deeply connected to religious and cultural traditions. In recent years, however, the nature of the colours associated with Holi has changed significantly. Natural colours made from flowers, plants, and soil have gradually disappeared, replaced by commercially available chemical colours. Experience shows that in the days following Holi each year, cases of skin, eye, and hair problems rise noticeably. Based on both experience and scientific evidence, this article focuses on the types of colours used during Holi, their chemical composition, associated health risks, and preventive measures. Traditionally, Holi colours were mostly natural. Turmeric, saffron, or yellow flowers were used to produce yellow; red flowers, such as palash for red; spinach or fenugreek leaves for green; and indigo powder for blue. These colours were skin-friendly, easily soluble in water, and environmentally safe. With industrial production, the fundamental character of colours changed. Today, many colours available in the market are made from industrial dyes originally intended for colouring textiles and plastics. Their packaging often does not mention the risks of using them on the skin, and consumers are largely unaware of the potential hazards. From a chemical perspective, synthetic Holi colours often contain heavy metals and artificial pigments. For example, green may contain chromium oxide; red may include mercury sulfide or rhodamine B; black may contain lead oxide; blue may contain Prussian blue; and yellow may include lead chromate. These substances can penetrate beyond the skin’s surface. They may cause small wounds, rashes, allergies, and dryness. Engine oil, diesel, or low-grade mineral oil used to make colours appear glossy can further worsen skin damage. The effects on the skin can be both immediate and delayed. Immediate reactions include burning sensations, irritation, redness, itching, swelling, blisters, and rashes. These conditions are known as irritant or allergic contact dermatitis. In some individuals, itching and raised patches appear within minutes of applying colour. People who already have skin conditions such as atopic dermatitis, psoriasis, acne, melasma, vitiligo, or lupus are at greater risk from such chemical exposure. Delayed effects may include post-inflammatory hyperpigmentation (darkening of the skin), thinning of the skin, or chronic allergies. Certain heavy metals can accumulate in the body over time and potentially affect internal organs. Not only the skin, but the eyes and hair are also directly affected. Chemical colours entering the eyes can cause conjunctivitis, corneal erosion, light sensitivity, or blurred vision. When colours and oily substances accumulate on the hair, they may lead to dryness, breakage, split ends, dandruff, and hair fall. For individuals with asthma or allergies, inhaling coloured powder can irritate the lungs, leading to coughing and breathing difficulties. What precautions should be taken? Despite these risks, this does not mean Holi should not be celebrated. The problem lies in the selection and use of colours. Preventive measures are simple but effective. Applying a sufficient amount of moisturiser or coconut oil to the skin before playing Holi makes it harder for colours to penetrate. Using sunscreen while playing in the sun is important, as the combined effect of chemical colours and ultraviolet rays can intensify skin damage. Keeping nails short and applying lip balm are also helpful steps. For eye protection, glasses are safer than contact lenses. The most important factor is the choice of colour. Whenever possible, use certified herbal colours or natural colours prepared at home. It is wise to avoid cheap products marketed as “strong,” “permanent,” or “extra glossy.” Children’s skin is more sensitive, so extra care is required. Pregnant women, individuals with chronic skin diseases, and those on medication should avoid direct exposure to chemical colours as much as possible. How to clean up afterwards? Post-Holi skin care is equally important. Scrubbing forcefully with soap can damage the skin’s protective barrier. It is better to first rinse gently with plain water or a mild cleanser and then apply moisturiser. For hair, a mild shampoo and conditioner are sufficient. If the colour does not come off easily, it is advisable to wait a few days and let it fade naturally rather than using chemical removers. If there is severe irritation, blisters, or unbearable itching, immediate consultation with a dermatologist is necessary. The true essence of Holi lies not in the intensity of colours but in the sweetness of relationships. Returning to natural colours, practising safe celebration, and respecting others’ health are the true needs of today. —",2.0,2026-03-05T10:51:50.185464
