Constituency,DistrictEnglish,DistrictNepali,CandidateEnglish,CandidateNepali,Source,Title,URL,Snippet,Content,RelevanceScore,ScrapedAt
5,jhapa,झापा,Amritlal Mahato,अमृतलाल महतो,DDG (ne2),अमृतलाल महतो :: Nepal Election 2082 | Baahrakhari Candidate & Results Hub,https://election.baahrakhari.com/candidate-detail/128,कोसी जिल्ला (District) झापानिर्वाचनक्षेत्र (Constituency): झापा - ५ झापा - ५ का अन्य उमेदवारहरु,कोसी जिल्ला (District) झापानिर्वाचनक्षेत्र (Constituency): झापा - ५ झापा - ५ का अन्य उमेदवारहरु,20.0,2026-03-05T10:52:03.329222
5,jhapa,झापा,Amritlal Mahato,अमृतलाल महतो,DDG (ne2),अमृतलाल महतो :: Nepal Election 2082 | Thaha Khabar Candidate & Results Hub,https://election.thahakhabar.com/candidate-detail/128,गृहपृष्ठउम्मेदवारअमृतलालमहतोअमृतलालमहतोउमेर (Age) ४३ लिङ्ग (Gender),गृहपृष्ठउम्मेदवारअमृतलालमहतोअमृतलालमहतोउमेर (Age) ४३ लिङ्ग (Gender),16.0,2026-03-05T10:52:03.329235
5,jhapa,झापा,Amritlal Mahato,अमृतलाल महतो,DDG (ne2),अमृतलाल महतो - नेपाल निर्वाचन २०८२ - प्रतिनिधिसभाको निर्वाचन विवरण तथा ...,https://election.ekantipur.com/profile/128,"अमृतलालमहतोकोनिर्वाचनप्रोफाइल, उमेर ४३ वर्ष, पार्टी,निर्वाचनक्षेत्र झापा-५, शिक्षा, अनुभव रनिर्वाचन२०८२ को नतिजा।","अमृतलालमहतोकोनिर्वाचनप्रोफाइल, उमेर ४३ वर्ष, पार्टी,निर्वाचनक्षेत्र झापा-५, शिक्षा, अनुभव रनिर्वाचन२०८२ को नतिजा।",15.0,2026-03-05T10:52:03.329237
5,jhapa,झापा,Amritlal Mahato,अमृतलाल महतो,DDG (en2),"अमृतलाल महतो, झापा - ५, जनमत पार्टी, Nepal Election 2082",https://election.onlinekhabar.com/central-candidate/amritlal-mahato,"अमृतलाल महतो, झापा - ५, जनमत पार्टी अमृतलाल महतोको प्रोफाइल पढेर तपाईंलाई कस्तो लाग्यो ? 0% खुसी 0% दुःखी 0% अचम्मित 0% उत्साहित 0% आक्रोशित","अमृतलाल महतो, झापा - ५, जनमत पार्टी अमृतलाल महतोको प्रोफाइल पढेर तपाईंलाई कस्तो लाग्यो ? 0% खुसी 0% दुःखी 0% अचम्मित 0% उत्साहित 0% आक्रोशित",13.39,2026-03-05T10:52:03.329239
5,jhapa,झापा,Amritlal Mahato,अमृतलाल महतो,DDG (ne),"अमृतलाल महतो, झापा - ५, जनमत पार्टी, Nepal Election 2082",https://election.onlinekhabar.com/central-candidate/amrit-lal-mahato,"अमृतलाल महतो,झापा- ५, जनमत पार्टी अमृतलाल महतोको प्रोफाइल पढेर तपाईंलाई कस्तो लाग्यो ? 0% खुसी 0% दुःखी 0% अचम्मित 0% उत्साहित 0% आक्रोशित","अमृतलाल महतो,झापा- ५, जनमत पार्टी अमृतलाल महतोको प्रोफाइल पढेर तपाईंलाई कस्तो लाग्यो ? 0% खुसी 0% दुःखी 0% अचम्मित 0% उत्साहित 0% आक्रोशित",13.39,2026-03-05T10:52:03.329241
5,jhapa,झापा,Amritlal Mahato,अमृतलाल महतो,OnlineKhabar EN,A new test for Oli as Balen gains ground in Jhapa-5,https://english.onlinekhabar.com/oli-vs-balen-gains-ground-in-jhapa-5.html,,"A new test for Oli as Balen gains ground in Jhapa-5 Prasun Sangroula Friday, February 27, 2026 0 Comments Jhapa: As Nepal approaches its parliamentary elections on March 5, the political atmosphere across the country has grown increasingly charged. Specifically in  Jhapa-5, the contest appears particularly intense because it features K.P. Sharma Oli, chairman of the Communist Party of Nepal (Unified Marxist–Leninist), against Balendra Shah, widely known as Balen, a senior leader of the Rastriya Swatantra Party (RSP). Both men are viewed as potential prime ministerial contenders if their parties secure enough seats in Parliament. Jhapa-5 has long been considered Oli’s political stronghold. With the exception of the elections held around the 2006 people’s movement, he has consistently won here. Yet this year, the mood appears different. From tea shops and neighbourhood gatherings to street vendors and rickshaw drivers, conversations suggest that  Oli’s victory is no longer viewed as inevitable. When Balen arrived in Damak on January 20 to file his candidacy , an unusually large crowd gathered at the town square, a scene not witnessed for other challengers in previous elections. Since that day, his presence in the constituency has been difficult to ignore. Who ultimately prevails will be determined only after ballots are counted. But Balen’s growing visibility has become a central feature of the campaign. A long-time UML party activist in Jhapa-5, speaking on condition of anonymity, said he had decided to vote for Balen in the direct race. “We supported K.P. Oli for many years, but now we have little hope left,” he says. “With someone new, at least there is a possibility of change.” The activist, who lives in an informal settlement, said Oli had repeatedly promised land ownership certificates to residents but failed to deliver. “We stood by him continuously. But this time we will not accept what we see as false assurances.” Such defections are unusual in a constituency widely regarded as a UML bastion. The activist added that while he would vote for Balen in the first-past-the-post race, he would still support UML under the proportional representation system. Another local party worker from the Nepali Congress, also speaking anonymously, described Balen’s influence as “genuinely strong.” He said he planned to vote for his party under proportional representation but would support the Rastriya Swatantra Party in the direct contest. “From what we see on the ground, either Balen or the Rastriya Swatantra Party could come out on top,” he says, adding that the Congress candidate appeared comparatively weak. “This constituency has trusted Oli many times, but people feel the expected results did not follow.” Local grievances extend beyond partisan politics. Landowners affected by the proposed East–West railway project say their property has been frozen for years without compensation. Some residents blame Oli for failing to resolve the issue during his tenure. The extent to which K.P. Sharma Oli has been going door to door seeking votes during this campaign suggests that the situation in Jhapa-5 is different from previous elections. The kinds of questions he has faced from voters while canvassing further indicate that he may encounter significant challenges in securing victory this time. “Although he has not appeared equally active in the nationwide campaign, Oli’s heightened focus on Jhapa-5 signals that he is facing a tougher contest here compared with past years,” says Sagar Siwakoti, a political analyst based in Jhapa. Balen’s influence in Jhapa-5 has grown so markedly that his door-to-door events now draw unusually large crowds, at times making it difficult to carry out the campaign effectively. Development has not been absent from Jhapa-5, said Madan Rajbanshi, Editor in Chief of the local media Gauriganj Darpan . But he noted that many projects have been concentrated in Damak, leaving areas such as Gauradaha and Gauriganj feeling neglected. Kankai River Bridge. Photo: Prasun Sangroula A bridge over the Kankai River along the Hulaki Highway has remained incomplete for 14 years. Another bridge over the Ratuwa River was finished only this year, after 17 years of delays and sustained public pressure. In the 2017 election campaign, Oli pledged to modernise the customs office in Gauriganj, but little progress has been made since. In parts of Gauradaha, unresolved land-mapping issues dating back decades have prevented property owners from securing bank loans or conducting formal transactions. Oli has repeatedly promised a solution, but the matter remains unsettled. “These are the reasons many voters in Gauradaha-4 and parts of Ward 5 may not support Oli this time,” Rajbanshi said. Santosh Dulal, a Jhapa-5 resident who is currently working closely with Balen, said public frustration with established leaders has deepened. “People are disillusioned with traditional politicians,” he says. “They feel their basic needs have ",11.0,2026-03-05T10:52:03.329243
5,jhapa,झापा,Amritlal Mahato,अमृतलाल महतो,Ratopati,श्रम संस्कृति पार्टीका अध्यक्ष हर्क साम्पाङद्वारा मतदान,https://www.ratopati.com/story/548128/labor-culture-party-chairman-sampang-casts-his-vote,,"श्रम संस्कृति पार्टीका अध्यक्ष हर्क साम्पाङद्वारा मतदान रासस बिहीबार, २१ फागुन २०८२, १० : ३९ रासस बिहीबार, २१ फागुन २०८२ सुनसरी । श्रम संस्कृति पार्टीका अध्यक्ष हर्कराज राई ‘साम्पाङ’ले धरान उपमहानगरपालिका–१८ स्थित कार्मेल बोर्डिङ स्कुल मतदान केन्द्रमा मतदान गरेका छन्। धरान उपमहानगरपालिकाका पूर्वप्रमुख उनी सुनसरी क्षेत्र नम्बर १ बाट उम्मेदवार छन् । यो क्षेत्रका सबै मतदान केन्द्रमा बिहानैदेखि मतदाताको बाक्लो उपस्थिति रहेको र शान्तिपूर्ण रूपमा मतदान भइरहेको छ । यहाँ एक लाख ५० हजार ३९३ मतदाता छन् । हर्क साम्पाङ खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रासस राष्ट्रिय समाचार समिति नेपालकाे  सरकारी समाचार संस्था हाे । लेखकबाट थप भर्खरै इरानमाथि अमेरिका र इजरायलको आक्रमण संयुक्त राष्ट्रसंघीय बडापत्र विपरीत: राष्ट्रसंघ एमाले उम्मेदवार नेम्वाङले गरे मतदान मध्यपूर्वमा बढ्दो तनावले सुनको मूल्यमा नयाँ रेकर्ड गृहमन्त्रीद्वारा निर्वाचनको ‘मनिटरिङ’ ६५ प्रतिशत मत खस्ने आयोगको अनुमान सुदूरपश्चिममा शान्तिपूर्ण रूपमा मतदान जारी (फोटोहरू) ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. ललितपुरमा प्रहरीमाथि शृङ्खलाबद्ध आक्रमण : चाँगाथलीमा हवाई फायर, झम्सीखेलमा कुटपिट ३. सर्लाही–३ का रास्वपा उम्मेदवार कलवार कालोसूचीमा ४. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ५. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ६. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. कर्मचारीमाथि हातपात गर्न खोजेपछि दोलखामा हवाई फायर छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",8.5,2026-03-05T10:52:03.329245
5,jhapa,झापा,Amritlal Mahato,अमृतलाल महतो,Ratopati,कांग्रेस नेता कोइरालाले गरे मतदान,https://www.ratopati.com/story/548097/congress-leader-koirala-casts-his-vote,,"कांग्रेस नेता कोइरालाले गरे मतदान रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२, ०९ : ३६ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२ मोरङ । नेपाली कांग्रेसका नेता एवं प्रतिनिधिसभा सदस्य उम्मेदवार शेखर कोइरालाले मतदान गरेका छन् । मोरङ क्षेत्र नं. ६ का कांग्रेसका उम्मेदवार  कोइरालाले विराटनगर वार्ड नं.७ स्थित आदर्श विद्यालयमा मतदान गरेका हुन् । कांग्रेस नेता कोइरालाले गरे मतदान खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रातोपाटी संवाददाता ‘सबैको, सबैभन्दा राम्रो’ रातोपाटी डटकम। लेखकबाट थप भर्खरै इरानमाथि अमेरिका र इजरायलको आक्रमण संयुक्त राष्ट्रसंघीय बडापत्र विपरीत: राष्ट्रसंघ एमाले उम्मेदवार नेम्वाङले गरे मतदान मध्यपूर्वमा बढ्दो तनावले सुनको मूल्यमा नयाँ रेकर्ड गृहमन्त्रीद्वारा निर्वाचनको ‘मनिटरिङ’ ६५ प्रतिशत मत खस्ने आयोगको अनुमान सुदूरपश्चिममा शान्तिपूर्ण रूपमा मतदान जारी (फोटोहरू) ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. ललितपुरमा प्रहरीमाथि शृङ्खलाबद्ध आक्रमण : चाँगाथलीमा हवाई फायर, झम्सीखेलमा कुटपिट ३. सर्लाही–३ का रास्वपा उम्मेदवार कलवार कालोसूचीमा ४. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ५. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ६. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. राष्ट्रिय सुरक्षा परिषद्को बैठकले के गर्‍याे निर्णय ? छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",8.5,2026-03-05T10:52:03.329246
