Constituency,DistrictEnglish,DistrictNepali,CandidateEnglish,CandidateNepali,Source,Title,URL,Snippet,Content,RelevanceScore,ScrapedAt
5,jhapa,झापा,Arjun Sapkota,अर्जुन सापकोटा,DDG (ne2),अर्जुन सापकोटा :: Nepal Election 2082 | Baahrakhari Candidate & Results Hub,https://election.baahrakhari.com/candidate-detail/137,"पुरुष, ३९ वर्षनिर्वाचनक्षेत्र: झापा - ५, कोसी स्वतन्त्र झापा - ५ का अन्य उमेदवारहरु","पुरुष, ३९ वर्षनिर्वाचनक्षेत्र: झापा - ५, कोसी स्वतन्त्र झापा - ५ का अन्य उमेदवारहरु",18.0,2026-03-05T10:52:17.054246
5,jhapa,झापा,Arjun Sapkota,अर्जुन सापकोटा,DDG (ne),"अर्जुन सापकोटा, झापा - ५, स्वतन्त्र, Nepal Election 2082",https://election.onlinekhabar.com/central-candidate/arjun-sapakota,"अर्जुन सापकोटा,झापा- ५, स्वतन्त्र अर्जुन सापकोटाको प्रोफाइल पढेर तपाईंलाई कस्तो लाग्यो ? 0% खुसी 0% दुःखी 0% अचम्मित 0% उत्साहित 0% आक्रोशित","अर्जुन सापकोटा,झापा- ५, स्वतन्त्र अर्जुन सापकोटाको प्रोफाइल पढेर तपाईंलाई कस्तो लाग्यो ? 0% खुसी 0% दुःखी 0% अचम्मित 0% उत्साहित 0% आक्रोशित",11.39,2026-03-05T10:52:17.054256
5,jhapa,झापा,Arjun Sapkota,अर्जुन सापकोटा,DDG (ne2),अर्जुन सापकोटा,https://election.onlinekhabar.com/central-candidate/arjuna-sapakota,"उम्मेदवारप्रोफाइल नयाँ मतदाता रिझाउने अवसर सोविता गौतम राष्ट्रिय स्वतन्त्र पार्टी, चितवन - ३ पार्वत गुरुङ पार्वत गुरुङ नेकपा एमाले, दोलखा - १ ...","उम्मेदवारप्रोफाइल नयाँ मतदाता रिझाउने अवसर सोविता गौतम राष्ट्रिय स्वतन्त्र पार्टी, चितवन - ३ पार्वत गुरुङ पार्वत गुरुङ नेकपा एमाले, दोलखा - १ ...",9.0,2026-03-05T10:52:17.054258
5,jhapa,झापा,Arjun Sapkota,अर्जुन सापकोटा,DDG (en2),Arjun Sapkota - Wikipedia,https://en.wikipedia.org/wiki/Arjun_Sapkota,"ArjunSapkota(Nepali: अर्जुन सापकोटा; born 26 January 1999) is a Nepalese singer, composer, lyricist and model, known for his contribution towards Nepali folk music industry . [1]","ArjunSapkota(Nepali: अर्जुन सापकोटा; born 26 January 1999) is a Nepalese singer, composer, lyricist and model, known for his contribution towards Nepali folk music industry . [1]",9.0,2026-03-05T10:52:17.054259
5,jhapa,झापा,Arjun Sapkota,अर्जुन सापकोटा,Ratopati,श्रम संस्कृति पार्टीका अध्यक्ष हर्क साम्पाङद्वारा मतदान,https://www.ratopati.com/story/548128/labor-culture-party-chairman-sampang-casts-his-vote,,"श्रम संस्कृति पार्टीका अध्यक्ष हर्क साम्पाङद्वारा मतदान रासस बिहीबार, २१ फागुन २०८२, १० : ३९ रासस बिहीबार, २१ फागुन २०८२ सुनसरी । श्रम संस्कृति पार्टीका अध्यक्ष हर्कराज राई ‘साम्पाङ’ले धरान उपमहानगरपालिका–१८ स्थित कार्मेल बोर्डिङ स्कुल मतदान केन्द्रमा मतदान गरेका छन्। धरान उपमहानगरपालिकाका पूर्वप्रमुख उनी सुनसरी क्षेत्र नम्बर १ बाट उम्मेदवार छन् । यो क्षेत्रका सबै मतदान केन्द्रमा बिहानैदेखि मतदाताको बाक्लो उपस्थिति रहेको र शान्तिपूर्ण रूपमा मतदान भइरहेको छ । यहाँ एक लाख ५० हजार ३९३ मतदाता छन् । हर्क साम्पाङ खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रासस राष्ट्रिय समाचार समिति नेपालकाे  सरकारी समाचार संस्था हाे । लेखकबाट थप भर्खरै इरानमाथि अमेरिका र इजरायलको आक्रमण संयुक्त राष्ट्रसंघीय बडापत्र विपरीत: राष्ट्रसंघ एमाले उम्मेदवार नेम्वाङले गरे मतदान मध्यपूर्वमा बढ्दो तनावले सुनको मूल्यमा नयाँ रेकर्ड गृहमन्त्रीद्वारा निर्वाचनको ‘मनिटरिङ’ ६५ प्रतिशत मत खस्ने आयोगको अनुमान सुदूरपश्चिममा शान्तिपूर्ण रूपमा मतदान जारी (फोटोहरू) ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. ललितपुरमा प्रहरीमाथि शृङ्खलाबद्ध आक्रमण : चाँगाथलीमा हवाई फायर, झम्सीखेलमा कुटपिट ३. सर्लाही–३ का रास्वपा उम्मेदवार कलवार कालोसूचीमा ४. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ५. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ६. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. कर्मचारीमाथि हातपात गर्न खोजेपछि दोलखामा हवाई फायर छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",8.5,2026-03-05T10:52:17.054261
5,jhapa,झापा,Arjun Sapkota,अर्जुन सापकोटा,Ratopati,कांग्रेस नेता कोइरालाले गरे मतदान,https://www.ratopati.com/story/548097/congress-leader-koirala-casts-his-vote,,"कांग्रेस नेता कोइरालाले गरे मतदान रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२, ०९ : ३६ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२ मोरङ । नेपाली कांग्रेसका नेता एवं प्रतिनिधिसभा सदस्य उम्मेदवार शेखर कोइरालाले मतदान गरेका छन् । मोरङ क्षेत्र नं. ६ का कांग्रेसका उम्मेदवार  कोइरालाले विराटनगर वार्ड नं.७ स्थित आदर्श विद्यालयमा मतदान गरेका हुन् । कांग्रेस नेता कोइरालाले गरे मतदान खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रातोपाटी संवाददाता ‘सबैको, सबैभन्दा राम्रो’ रातोपाटी डटकम। लेखकबाट थप भर्खरै इरानमाथि अमेरिका र इजरायलको आक्रमण संयुक्त राष्ट्रसंघीय बडापत्र विपरीत: राष्ट्रसंघ एमाले उम्मेदवार नेम्वाङले गरे मतदान मध्यपूर्वमा बढ्दो तनावले सुनको मूल्यमा नयाँ रेकर्ड गृहमन्त्रीद्वारा निर्वाचनको ‘मनिटरिङ’ ६५ प्रतिशत मत खस्ने आयोगको अनुमान सुदूरपश्चिममा शान्तिपूर्ण रूपमा मतदान जारी (फोटोहरू) ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. ललितपुरमा प्रहरीमाथि शृङ्खलाबद्ध आक्रमण : चाँगाथलीमा हवाई फायर, झम्सीखेलमा कुटपिट ३. सर्लाही–३ का रास्वपा उम्मेदवार कलवार कालोसूचीमा ४. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ५. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ६. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. राष्ट्रिय सुरक्षा परिषद्को बैठकले के गर्‍याे निर्णय ? छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",8.5,2026-03-05T10:52:17.054263
5,jhapa,झापा,Arjun Sapkota,अर्जुन सापकोटा,Ratopati,एमाले उम्मेदवार नेम्वाङले गरे मतदान,https://www.ratopati.com/story/548133/uml-candidate-nembang-casts-his-vote,,"एमाले उम्मेदवार नेम्वाङले गरे मतदान रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२, १० : ४४ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२ काठमाडौँ । इलाम–२ बाट प्रतिनिधिसभा सदस्य पदको उम्मेदवार सुहाङ नेम्वाङले मतदान गरेका छन् । उनले मरब क्याम्पस इलाम मतदान केन्द्रबाट मतदान गरेका हुन् । एमाले उम्मेदवार नेम्वाङले गरे मतदान खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रातोपाटी संवाददाता ‘सबैको, सबैभन्दा राम्रो’ रातोपाटी डटकम। लेखकबाट थप भर्खरै इरानमाथि अमेरिका र इजरायलको आक्रमण संयुक्त राष्ट्रसंघीय बडापत्र विपरीत: राष्ट्रसंघ एमाले उम्मेदवार नेम्वाङले गरे मतदान मध्यपूर्वमा बढ्दो तनावले सुनको मूल्यमा नयाँ रेकर्ड गृहमन्त्रीद्वारा निर्वाचनको ‘मनिटरिङ’ ६५ प्रतिशत मत खस्ने आयोगको अनुमान सुदूरपश्चिममा शान्तिपूर्ण रूपमा मतदान जारी (फोटोहरू) ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. ललितपुरमा प्रहरीमाथि शृङ्खलाबद्ध आक्रमण : चाँगाथलीमा हवाई फायर, झम्सीखेलमा कुटपिट ३. सर्लाही–३ का रास्वपा उम्मेदवार कलवार कालोसूचीमा ४. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ५. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ६. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. राष्ट्रिय सुरक्षा परिषद्को बैठकले के गर्‍याे निर्णय ? छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",7.5,2026-03-05T10:52:17.054264
5,jhapa,झापा,Arjun Sapkota,अर्जुन सापकोटा,Ratopati,बहुमत पार्टीका मोरङ इन्चार्ज र सचिव पक्राउ,https://www.ratopati.com/story/548108/morang-in-charge-and-secretary-of-majority-party-arrested,,"बहुमत पार्टीका मोरङ इन्चार्ज र सचिव पक्राउ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२, ०९ : ५९ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२ सारांश प्रतिनिधिसभा निर्वाचन बहिस्कार गर्ने नेकपा बहुमत पार्टीका नेताहरू मोरङमा पक्राउ परे। प्रहरीले निर्वाचन विरोधी गतिविधिमा संलग्न रहेको आरोपमा उनीहरूलाई पक्राउ गरेको हो। पक्राउ परेका नेताहरूबाट मोटरसाइकल, मोबाइल र पार्टीको झण्डा बरामद गरियो। काठमाडौँ । प्रतिनिधिसभा निर्वाचन बहिस्कार गर्ने नेकपा बहुमत पार्टीका मोरङ जिल्ला इन्चार्ज कृष्ण प्रसाद चम्लागाई र जिल्ला सचिव सुमन पौडेल पक्राउ परेका छन् ।उनीहरूलाई बुधबार साँझ इलाका प्रहरी कार्यालय पथरीबाट खटिएको प्रहरी टोलीले निर्वाचन विरोधी गतिविधिमा संलग्न रहेको पाइएपछि मोरङको कानेपोखरी गाँउपालिका–६ बुद्ध चौकबाट पक्राउ गरेको मोरङ प्रहरी प्रवक्ता प्रहरी नायब उपरीक्षक हरिनन्दन चौधरीले जानकारी दिएका छन् । चौधरीले जारी गरेको विज्ञप्तिमा  को ६ प ५११६ नम्बरको मोटरसाईकल, विभिन्न कम्पनीका ५ थान मोवाइल, बहुमत पार्टीको झण्डालगायतका सामग्री पनि बरामद गरिएको जानकारी विज्ञप्तिमा उल्लेख गरेका छन् । पक्राउ नेकपा बहुमत खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रातोपाटी संवाददाता ‘सबैको, सबैभन्दा राम्रो’ रातोपाटी डटकम। लेखकबाट थप भर्खरै इरानमाथि अमेरिका र इजरायलको आक्रमण संयुक्त राष्ट्रसंघीय बडापत्र विपरीत: राष्ट्रसंघ एमाले उम्मेदवार नेम्वाङले गरे मतदान मध्यपूर्वमा बढ्दो तनावले सुनको मूल्यमा नयाँ रेकर्ड गृहमन्त्रीद्वारा निर्वाचनको ‘मनिटरिङ’ ६५ प्रतिशत मत खस्ने आयोगको अनुमान सुदूरपश्चिममा शान्तिपूर्ण रूपमा मतदान जारी (फोटोहरू) ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. ललितपुरमा प्रहरीमाथि शृङ्खलाबद्ध आक्रमण : चाँगाथलीमा हवाई फायर, झम्सीखेलमा कुटपिट ३. सर्लाही–३ का रास्वपा उम्मेदवार कलवार कालोसूचीमा ४. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ५. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ६. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. कर्मचारीमाथि हातपात गर्न खोजेपछि दोलखामा हवाई फायर छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",7.5,2026-03-05T10:52:17.054266
