Name,District,No,Party,KeywordList
नवराज मास्के,मोरङ,3,जय मातृभूमि पार्टी,"""नवराज मास्के"" मोरङ 3|""नवराज मास्के"""
अमिर मगर,मोरङ,3,श्रम संस्कृति पार्टी,"""अमिर मगर"" मोरङ 3|""अमिर मगर"""
खड्ग बहादुर कार्की,मोरङ,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""खड्ग बहादुर कार्की"" मोरङ 3|""खड्ग बहादुर कार्की"""
भुवन कुमार वाग्ले,मोरङ,3,"राष्ट्रिय उर्जाशील पार्टी, नेपाल","""भुवन कुमार वाग्ले"" मोरङ 3|""भुवन कुमार वाग्ले"""
मित्रसेन योञ्जन,मोरङ,3,उज्यालो नेपाल पार्टी,"""मित्रसेन योञ्जन"" मोरङ 3|""मित्रसेन योञ्जन"""
कमल कुमार राई,मोरङ,3,आम जनता पार्टी(एकल चुनाव चिन्ह),"""कमल कुमार राई"" मोरङ 3|""कमल कुमार राई"""
गणेश मिश्र,मोरङ,3,स्वतन्त्र,"""गणेश मिश्र"" मोरङ 3|""गणेश मिश्र"""
तेज प्रसाद भण्डारी,मोरङ,3,स्वतन्त्र,"""तेज प्रसाद भण्डारी"" मोरङ 3|""तेज प्रसाद भण्डारी"""
जिवन घिमीरे,मोरङ,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Jivn Ghimire"" मोरङ 4|""जिवन घिमीरे"" मोरङ 4|""Jivn Ghimire""|""जिवन घिमीरे"""
गुरु राज घिमिरे,मोरङ,4,नेपाली काँग्रेस,"""Guru Raj Ghimire"" मोरङ 4|""गुरु राज घिमिरे"" मोरङ 4|""Guru Raj Ghimire""|""गुरु राज घिमिरे"""
अमन लाल मोदी,मोरङ,4,नेपाली कम्युनिष्ट पार्टी,"""अमन लाल मोदी"" मोरङ 4|""अमन लाल मोदी"""
सन्तोष राजवंशी,मोरङ,4,राष्ट्रिय स्वतन्त्र पार्टी,"""Sntosh Rajvnshi"" मोरङ 4|""सन्तोष राजवंशी"" मोरङ 4|""Sntosh Rajvnshi""|""सन्तोष राजवंशी"""
माधव प्रसाद आचार्य,मोरङ,4,राष्ट्रिय प्रजातन्त्र पार्टी,"""Madhv Prsad Achary"" मोरङ 4|""माधव प्रसाद आचार्य"" मोरङ 4|""Madhv Prsad Achary""|""माधव प्रसाद आचार्य"""
तवरेज अखतर आलम ,मोरङ,4,"जनता समाजवादी पार्टी, नेपाल","""Tvrej Akhtr Alm "" मोरङ 4|""तवरेज अखतर आलम "" मोरङ 4|""Tvrej Akhtr Alm ""|""तवरेज अखतर आलम """
जिवन कुमार गुप्‍ता,मोरङ,4,जनमत पार्टी,"""जिवन कुमार गुप्‍ता"" मोरङ 4|""जिवन कुमार गुप्‍ता"""
जयराम थारु,मोरङ,4,नेपाल मजदुर किसान पार्टी,"""जयराम थारु"" मोरङ 4|""जयराम थारु"""
गोल्छा  राई ,मोरङ,4,मंगोल नेशनल अर्गनाइजेसन,"""गोल्छा  राई "" मोरङ 4|""गोल्छा  राई """
हरनु मुसहर,मोरङ,4,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""हरनु मुसहर"" मोरङ 4|""हरनु मुसहर"""
कृष्ण कुमार अटल,मोरङ,4,श्रम संस्कृति पार्टी,"""कृष्ण कुमार अटल"" मोरङ 4|""कृष्ण कुमार अटल"""
हरि बहादुर बस्नेत,मोरङ,4,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""हरि बहादुर बस्नेत"" मोरङ 4|""हरि बहादुर बस्नेत"""
हरि नारायण चौधरी,मोरङ,4,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)","""हरि नारायण चौधरी"" मोरङ 4|""हरि नारायण चौधरी"""
कल्पना देेवि यादव,मोरङ,4,राष्ट्र निर्माण दल नेपाल,"""कल्पना देेवि यादव"" मोरङ 4|""कल्पना देेवि यादव"""
नुमा लिम्बु,मोरङ,4,समावेशी समाजवादी पार्टी,"""नुमा लिम्बु"" मोरङ 4|""नुमा लिम्बु"""
अशोक शर्मा,मोरङ,4,आम जनता पार्टी(एकल चुनाव चिन्ह),"""अशोक शर्मा"" मोरङ 4|""अशोक शर्मा"""
भक्त मणी दाहाल,मोरङ,4,स्वतन्त्र,"""भक्त मणी दाहाल"" मोरङ 4|""भक्त मणी दाहाल"""
विनोद कुमार कार्की,मोरङ,4,स्वतन्त्र,"""विनोद कुमार कार्की"" मोरङ 4|""विनोद कुमार कार्की"""
ज्ञानेन्द्र खत्री,मोरङ,4,स्वतन्त्र,"""ज्ञानेन्द्र खत्री"" मोरङ 4|""ज्ञानेन्द्र खत्री"""
मनोज कुमार अग्रवाल,मोरङ,5,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Mnoj Kumar Agrval"" मोरङ 5|""मनोज कुमार अग्रवाल"" मोरङ 5|""Mnoj Kumar Agrval""|""मनोज कुमार अग्रवाल"""
फुल कुमार लालवानी,मोरङ,5,नेपाली काँग्रेस,"""Phul Kumar Lalvani"" मोरङ 5|""फुल कुमार लालवानी"" मोरङ 5|""Phul Kumar Lalvani""|""फुल कुमार लालवानी"""
शिव कुमार मंडल (केवट),मोरङ,5,नेपाली कम्युनिष्ट पार्टी,"""शिव कुमार मंडल (केवट)"" मोरङ 5|""शिव कुमार मंडल (केवट)"""
आशा झा,मोरङ,5,राष्ट्रिय स्वतन्त्र पार्टी,"""Asha Jha"" मोरङ 5|""आशा झा"" मोरङ 5|""Asha Jha""|""आशा झा"""
कुमोद राय,मोरङ,5,राष्ट्रिय प्रजातन्त्र पार्टी,"""Kumod Ray"" मोरङ 5|""कुमोद राय"" मोरङ 5|""Kumod Ray""|""कुमोद राय"""
राज कुमार यादव,मोरङ,5,"जनता समाजवादी पार्टी, नेपाल","""Raj Kumar Yadv"" मोरङ 5|""राज कुमार यादव"" मोरङ 5|""Raj Kumar Yadv""|""राज कुमार यादव"""
परमेश्वर मुर्मु,मोरङ,5,जनमत पार्टी,"""परमेश्वर मुर्मु"" मोरङ 5|""परमेश्वर मुर्मु"""
गंगा कुमारी राजवंशी,मोरङ,5,नेपाल मजदुर किसान पार्टी,"""गंगा कुमारी राजवंशी"" मोरङ 5|""गंगा कुमारी राजवंशी"""
राजेन्द्र प्रसाद मण्डल केवट,मोरङ,5,प्रगतिशील लोकतान्त्रिक पार्टी,"""राजेन्द्र प्रसाद मण्डल केवट"" मोरङ 5|""राजेन्द्र प्रसाद मण्डल केवट"""
सकुन्तला श्रेष्‍ठ,मोरङ,5,मंगोल नेशनल अर्गनाइजेसन,"""सकुन्तला श्रेष्‍ठ"" मोरङ 5|""सकुन्तला श्रेष्‍ठ"""
मंगल ऋषिदेव,मोरङ,5,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""मंगल ऋषिदेव"" मोरङ 5|""मंगल ऋषिदेव"""
गंगा प्रसाद गिरी,मोरङ,5,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""गंगा प्रसाद गिरी"" मोरङ 5|""गंगा प्रसाद गिरी"""
योगेन्द्र मण्डल,मोरङ,5,"राष्ट्रिय उर्जाशील पार्टी, नेपाल","""योगेन्द्र मण्डल"" मोरङ 5|""योगेन्द्र मण्डल"""
नरेश कुमार लाभ,मोरङ,5,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),"""नरेश कुमार लाभ"" मोरङ 5|""नरेश कुमार लाभ"""
अमर कुमार यादव,मोरङ,5,स्वतन्त्र,"""अमर कुमार यादव"" मोरङ 5|""अमर कुमार यादव"""
जय नारायण शर्मा,मोरङ,5,स्वतन्त्र,"""जय नारायण शर्मा"" मोरङ 5|""जय नारायण शर्मा"""
ममता यादव,मोरङ,5,स्वतन्त्र,"""ममता यादव"" मोरङ 5|""ममता यादव"""
मोहमद रेजा हुसैन,मोरङ,5,स्वतन्त्र,"""मोहमद रेजा हुसैन"" मोरङ 5|""मोहमद रेजा हुसैन"""
राज कुमार राजवंशी,मोरङ,5,स्वतन्त्र,"""राज कुमार राजवंशी"" मोरङ 5|""राज कुमार राजवंशी"""
विकाश श्रेष्‍ठ,मोरङ,5,स्वतन्त्र,"""विकाश श्रेष्‍ठ"" मोरङ 5|""विकाश श्रेष्‍ठ"""
सुजित कुमार साह,मोरङ,5,स्वतन्त्र,"""सुजित कुमार साह"" मोरङ 5|""सुजित कुमार साह"""
सूर्य नारायण ठाकुर,मोरङ,5,स्वतन्त्र,"""सूर्य नारायण ठाकुर"" मोरङ 5|""सूर्य नारायण ठाकुर"""
विनोद प्रसाद ढकाल,मोरङ,6,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Vinod Prsad Dhkal"" मोरङ 6|""विनोद प्रसाद ढकाल"" मोरङ 6|""Vinod Prsad Dhkal""|""विनोद प्रसाद ढकाल"""
डा शेखर कोइराला,मोरङ,6,नेपाली काँग्रेस,"""Da Shekhr Koirala"" मोरङ 6|""डा शेखर कोइराला"" मोरङ 6|""Da Shekhr Koirala""|""डा शेखर कोइराला"""
ओपेन्द्र कुमार राय,मोरङ,6,नेपाली कम्युनिष्ट पार्टी,"""ओपेन्द्र कुमार राय"" मोरङ 6|""ओपेन्द्र कुमार राय"""
रुबिना आचार्य,मोरङ,6,राष्ट्रिय स्वतन्त्र पार्टी,"""Rubina Achary"" मोरङ 6|""रुबिना आचार्य"" मोरङ 6|""Rubina Achary""|""रुबिना आचार्य"""
सविन निरौला,मोरङ,6,राष्ट्रिय प्रजातन्त्र पार्टी,"""Svin Niraula"" मोरङ 6|""सविन निरौला"" मोरङ 6|""Svin Niraula""|""सविन निरौला"""
राजु मण्डल राजवंशी,मोरङ,6,"जनता समाजवादी पार्टी, नेपाल","""Raju Mndl Rajvnshi"" मोरङ 6|""राजु मण्डल राजवंशी"" मोरङ 6|""Raju Mndl Rajvnshi""|""राजु मण्डल राजवंशी"""
सुध राम माझी,मोरङ,6,जनमत पार्टी,"""सुध राम माझी"" मोरङ 6|""सुध राम माझी"""
अनु मगर,मोरङ,6,मंगोल नेशनल अर्गनाइजेसन,"""अनु मगर"" मोरङ 6|""अनु मगर"""
मातृका पौडेल,मोरङ,6,श्रम संस्कृति पार्टी,"""मातृका पौडेल"" मोरङ 6|""मातृका पौडेल"""
कुमार प्रसाद खतिवडा,मोरङ,6,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""कुमार प्रसाद खतिवडा"" मोरङ 6|""कुमार प्रसाद खतिवडा"""
प्रिती झा,मोरङ,6,सार्वभौम नागरिक पार्टी,"""प्रिती झा"" मोरङ 6|""प्रिती झा"""
बसन्त बुढाथोकि,मोरङ,6,उज्यालो नेपाल पार्टी,"""बसन्त बुढाथोकि"" मोरङ 6|""बसन्त बुढाथोकि"""
बलराम खवास,मोरङ,6,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)","""बलराम खवास"" मोरङ 6|""बलराम खवास"""
बद्री पासवान,मोरङ,6,आम जनता पार्टी(एकल चुनाव चिन्ह),"""बद्री पासवान"" मोरङ 6|""बद्री पासवान"""
उत्तम दाहाल,मोरङ,6,स्वतन्त्र,"""उत्तम दाहाल"" मोरङ 6|""उत्तम दाहाल"""
किरण खडका,मोरङ,6,स्वतन्त्र,"""किरण खडका"" मोरङ 6|""किरण खडका"""
खडा नन्द रिजाल,मोरङ,6,स्वतन्त्र,"""खडा नन्द रिजाल"" मोरङ 6|""खडा नन्द रिजाल"""
टिका राम लिम्बु,सुनसरी,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Tika Ram Limbu"" सुनसरी 1|""टिका राम लिम्बु"" सुनसरी 1|""Tika Ram Limbu""|""टिका राम लिम्बु"""
सुजेन्‍द्र तामाङ,सुनसरी,1,नेपाली काँग्रेस,"""Sujendr Tamang"" सुनसरी 1|""सुजेन्‍द्र तामाङ"" सुनसरी 1|""Sujendr Tamang""|""सुजेन्‍द्र तामाङ"""
सूर्य बहादुर भट्टराई,सुनसरी,1,नेपाली कम्युनिष्ट पार्टी,"""सूर्य बहादुर भट्टराई"" सुनसरी 1|""सूर्य बहादुर भट्टराई"""
गोमा तामाङ,सुनसरी,1,राष्ट्रिय स्वतन्त्र पार्टी,"""Goma Tamang"" सुनसरी 1|""गोमा तामाङ"" सुनसरी 1|""Goma Tamang""|""गोमा तामाङ"""
उद्धव श्रेष्‍ठ,सुनसरी,1,राष्ट्रिय प्रजातन्त्र पार्टी,"""Uddhv Shreshth"" सुनसरी 1|""उद्धव श्रेष्‍ठ"" सुनसरी 1|""Uddhv Shreshth""|""उद्धव श्रेष्‍ठ"""
संजय राई,सुनसरी,1,"जनता समाजवादी पार्टी, नेपाल","""Snjy Rai"" सुनसरी 1|""संजय राई"" सुनसरी 1|""Snjy Rai""|""संजय राई"""
महेश श्रेष्ठ,सुनसरी,1,नेपाल मजदुर किसान पार्टी,"""महेश श्रेष्ठ"" सुनसरी 1|""महेश श्रेष्ठ"""
राजेन्द्र  गुरुङ्ग ,सुनसरी,1,मंगोल नेशनल अर्गनाइजेसन,"""राजेन्द्र  गुरुङ्ग "" सुनसरी 1|""राजेन्द्र  गुरुङ्ग """
नरेश वि.क.,सुनसरी,1,संयुक्त नागरिक पार्टी,"""नरेश वि.क."" सुनसरी 1|""नरेश वि.क."""
याम बहादुर लिम्बु,सुनसरी,1,नेपाल जनमुक्ति पार्टी,"""याम बहादुर लिम्बु"" सुनसरी 1|""याम बहादुर लिम्बु"""
राज कुमार लिम्‍बु,सुनसरी,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""राज कुमार लिम्‍बु"" सुनसरी 1|""राज कुमार लिम्‍बु"""
राज कुमार राई,सुनसरी,1,नेपाली जनश्रमदान संस्कृति पार्टी,"""राज कुमार राई"" सुनसरी 1|""राज कुमार राई"""
भुपी राई,सुनसरी,1,राष्ट्रिय साझा पार्टी,"""भुपी राई"" सुनसरी 1|""भुपी राई"""
हर्क राज राई,सुनसरी,1,श्रम संस्कृति पार्टी,"""हर्क राज राई"" सुनसरी 1|""हर्क राज राई"""
रक्ष कुमार राई,सुनसरी,1,मितेरी पार्टी नेपाल,"""रक्ष कुमार राई"" सुनसरी 1|""रक्ष कुमार राई"""
दिल बहादुर बास्तोला,सुनसरी,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""दिल बहादुर बास्तोला"" सुनसरी 1|""दिल बहादुर बास्तोला"""
डम्वर लावती,सुनसरी,1,उज्यालो नेपाल पार्टी,"""डम्वर लावती"" सुनसरी 1|""डम्वर लावती"""
नगेन्द्र बहादुर लिम्वु,सुनसरी,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),"""नगेन्द्र बहादुर लिम्वु"" सुनसरी 1|""नगेन्द्र बहादुर लिम्वु"""
राम बहादुर विष्‍ट,सुनसरी,1,आम जनता पार्टी(एकल चुनाव चिन्ह),"""राम बहादुर विष्‍ट"" सुनसरी 1|""राम बहादुर विष्‍ट"""
ओम कृष्ण उदास,सुनसरी,1,स्वतन्त्र,"""ओम कृष्ण उदास"" सुनसरी 1|""ओम कृष्ण उदास"""
चेत बहादुर राई,सुनसरी,1,स्वतन्त्र,"""चेत बहादुर राई"" सुनसरी 1|""चेत बहादुर राई"""
जिवन कला राई,सुनसरी,1,स्वतन्त्र,"""जिवन कला राई"" सुनसरी 1|""जिवन कला राई"""
देउमान लिम्बु,सुनसरी,1,स्वतन्त्र,"""देउमान लिम्बु"" सुनसरी 1|""देउमान लिम्बु"""
शेष प्रसाद रेग्मी,सुनसरी,1,स्वतन्त्र,"""शेष प्रसाद रेग्मी"" सुनसरी 1|""शेष प्रसाद रेग्मी"""
सुबास विश्वकर्मा,सुनसरी,1,स्वतन्त्र,"""सुबास विश्वकर्मा"" सुनसरी 1|""सुबास विश्वकर्मा"""
सुमित राई,सुनसरी,1,स्वतन्त्र,"""सुमित राई"" सुनसरी 1|""सुमित राई"""
सुजन लामा,सुनसरी,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Sujn Lama"" सुनसरी 2|""सुजन लामा"" सुनसरी 2|""Sujn Lama""|""सुजन लामा"""
राजीव कोइराला,सुनसरी,2,नेपाली काँग्रेस,"""Rajiv Koirala"" सुनसरी 2|""राजीव कोइराला"" सुनसरी 2|""Rajiv Koirala""|""राजीव कोइराला"""
राम कुमारी चौधरी,सुनसरी,2,नेपाली कम्युनिष्ट पार्टी,"""राम कुमारी चौधरी"" सुनसरी 2|""राम कुमारी चौधरी"""
लाल बिक्रम थापा,सुनसरी,2,राष्ट्रिय स्वतन्त्र पार्टी,"""Lal Bikrm Thapa"" सुनसरी 2|""लाल बिक्रम थापा"" सुनसरी 2|""Lal Bikrm Thapa""|""लाल बिक्रम थापा"""
दिने‍श कुमार बस्‍नेत,सुनसरी,2,राष्ट्रिय प्रजातन्त्र पार्टी,"""Dinesh Kumar Bsnet"" सुनसरी 2|""दिने‍श कुमार बस्‍नेत"" सुनसरी 2|""Dinesh Kumar Bsnet""|""दिने‍श कुमार बस्‍नेत"""
रामचन्द्र मेहता,सुनसरी,2,"जनता समाजवादी पार्टी, नेपाल","""Ramchndr Mehta"" सुनसरी 2|""रामचन्द्र मेहता"" सुनसरी 2|""Ramchndr Mehta""|""रामचन्द्र मेहता"""
महाविर मेहता,सुनसरी,2,जनमत पार्टी,"""महाविर मेहता"" सुनसरी 2|""महाविर मेहता"""
गिता मैया बजिको,सुनसरी,2,नेपाल मजदुर किसान पार्टी,"""गिता मैया बजिको"" सुनसरी 2|""गिता मैया बजिको"""
ताजिना  विष्ट,सुनसरी,2,प्रगतिशील लोकतान्त्रिक पार्टी,"""ताजिना  विष्ट"" सुनसरी 2|""ताजिना  विष्ट"""
नुनु राम चौधरी,सुनसरी,2,नेपाल लोकतान्त्रिक पार्टी,"""नुनु राम चौधरी"" सुनसरी 2|""नुनु राम चौधरी"""
सन्‍तहिरा राई,सुनसरी,2,मंगोल नेशनल अर्गनाइजेसन,"""सन्‍तहिरा राई"" सुनसरी 2|""सन्‍तहिरा राई"""
अतित नेपाल,सुनसरी,2,नेपाल कम्युनिष्ट पार्टी (संयुक्त),"""अतित नेपाल"" सुनसरी 2|""अतित नेपाल"""
तुलसा लिम्बु,सुनसरी,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""तुलसा लिम्बु"" सुनसरी 2|""तुलसा लिम्बु"""
चेतन राई,सुनसरी,2,श्रम संस्कृति पार्टी,"""चेतन राई"" सुनसरी 2|""चेतन राई"""
कृष्ण कुमारी दनुवार,सुनसरी,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""कृष्ण कुमारी दनुवार"" सुनसरी 2|""कृष्ण कुमारी दनुवार"""
गोपाल  तामाङ,सुनसरी,2,उज्यालो नेपाल पार्टी,"""गोपाल  तामाङ"" सुनसरी 2|""गोपाल  तामाङ"""
सन्तोष कुमार मेहता,सुनसरी,2,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),"""सन्तोष कुमार मेहता"" सुनसरी 2|""सन्तोष कुमार मेहता"""
अदित्य आचार्य,सुनसरी,2,राष्ट्र निर्माण दल नेपाल,"""अदित्य आचार्य"" सुनसरी 2|""अदित्य आचार्य"""
निरन्जन ठाकुर,सुनसरी,2,आम जनता पार्टी(एकल चुनाव चिन्ह),"""निरन्जन ठाकुर"" सुनसरी 2|""निरन्जन ठाकुर"""
अन्जना देवी गुप्ता,सुनसरी,2,स्वतन्त्र,"""अन्जना देवी गुप्ता"" सुनसरी 2|""अन्जना देवी गुप्ता"""
इफतखार हसन (इकवाल),सुनसरी,2,स्वतन्त्र,"""इफतखार हसन (इकवाल)"" सुनसरी 2|""इफतखार हसन (इकवाल)"""
डम्‍बर बहादुर बराइली,सुनसरी,2,स्वतन्त्र,"""डम्‍बर बहादुर बराइली"" सुनसरी 2|""डम्‍बर बहादुर बराइली"""
देवेन्‍द्र पौडेल,सुनसरी,2,स्वतन्त्र,"""देवेन्‍द्र पौडेल"" सुनसरी 2|""देवेन्‍द्र पौडेल"""
नवराज पौडेल,सुनसरी,2,स्वतन्त्र,"""नवराज पौडेल"" सुनसरी 2|""नवराज पौडेल"""
भीम बहादुर दाहाल,सुनसरी,2,स्वतन्त्र,"""भीम बहादुर दाहाल"" सुनसरी 2|""भीम बहादुर दाहाल"""
राज कुमार खत्री,सुनसरी,2,स्वतन्त्र,"""राज कुमार खत्री"" सुनसरी 2|""राज कुमार खत्री"""
रोसनी राई,सुनसरी,2,स्वतन्त्र,"""रोसनी राई"" सुनसरी 2|""रोसनी राई"""
सत्य नारायण पंडित,सुनसरी,2,स्वतन्त्र,"""सत्य नारायण पंडित"" सुनसरी 2|""सत्य नारायण पंडित"""
भगवती चौधरी,सुनसरी,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Bhgvti Chaudhri"" सुनसरी 3|""भगवती चौधरी"" सुनसरी 3|""Bhgvti Chaudhri""|""भगवती चौधरी"""
विजय कुमार गच्‍छदार,सुनसरी,3,नेपाली काँग्रेस,"""Vijy Kumar Gchchhdar"" सुनसरी 3|""विजय कुमार गच्‍छदार"" सुनसरी 3|""Vijy Kumar Gchchhdar""|""विजय कुमार गच्‍छदार"""
दुर्गेश कुमार चौधरी,सुनसरी,3,नेपाली कम्युनिष्ट पार्टी,"""दुर्गेश कुमार चौधरी"" सुनसरी 3|""दुर्गेश कुमार चौधरी"""
अशोक कुमार चौधरी,सुनसरी,3,राष्ट्रिय स्वतन्त्र पार्टी,"""Ashok Kumar Chaudhri"" सुनसरी 3|""अशोक कुमार चौधरी"" सुनसरी 3|""Ashok Kumar Chaudhri""|""अशोक कुमार चौधरी"""
घनश्याम गुरुङ्ग,सुनसरी,3,राष्ट्रिय प्रजातन्त्र पार्टी,"""Ghnshyam Gurungg"" सुनसरी 3|""घनश्याम गुरुङ्ग"" सुनसरी 3|""Ghnshyam Gurungg""|""घनश्याम गुरुङ्ग"""
बद्री प्रसाद यादव,सुनसरी,3,"जनता समाजवादी पार्टी, नेपाल","""Bdri Prsad Yadv"" सुनसरी 3|""बद्री प्रसाद यादव"" सुनसरी 3|""Bdri Prsad Yadv""|""बद्री प्रसाद यादव"""
राम नारायण थारु,सुनसरी,3,जनमत पार्टी,"""राम नारायण थारु"" सुनसरी 3|""राम नारायण थारु"""
प्रकृति बासी,सुनसरी,3,नेपाल मजदुर किसान पार्टी,"""प्रकृति बासी"" सुनसरी 3|""प्रकृति बासी"""
प्रमोद पौड्याल,सुनसरी,3,प्रगतिशील लोकतान्त्रिक पार्टी,"""प्रमोद पौड्याल"" सुनसरी 3|""प्रमोद पौड्याल"""
दिप बहादुर तामाङ्ग,सुनसरी,3,मंगोल नेशनल अर्गनाइजेसन,"""दिप बहादुर तामाङ्ग"" सुनसरी 3|""दिप बहादुर तामाङ्ग"""
किशोर कुमार विश्‍वास,सुनसरी,3,समावेशी समाजवादी पार्टी नेपाल,"""किशोर कुमार विश्‍वास"" सुनसरी 3|""किशोर कुमार विश्‍वास"""
राम प्रसाद सदा,सुनसरी,3,श्रम संस्कृति पार्टी,"""राम प्रसाद सदा"" सुनसरी 3|""राम प्रसाद सदा"""
आसुतोष ढुङगेल,सुनसरी,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""आसुतोष ढुङगेल"" सुनसरी 3|""आसुतोष ढुङगेल"""
कृष्ण कुमार चौधरी,सुनसरी,3,सार्वभौम नागरिक पार्टी,"""कृष्ण कुमार चौधरी"" सुनसरी 3|""कृष्ण कुमार चौधरी"""
जागेश्‍वर यादव,सुनसरी,3,उज्यालो नेपाल पार्टी,"""जागेश्‍वर यादव"" सुनसरी 3|""जागेश्‍वर यादव"""
बासुदेव साहु तेली,सुनसरी,3,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)","""बासुदेव साहु तेली"" सुनसरी 3|""बासुदेव साहु तेली"""
रोहन कुमार शाह,सुनसरी,3,आम जनता पार्टी(एकल चुनाव चिन्ह),"""रोहन कुमार शाह"" सुनसरी 3|""रोहन कुमार शाह"""
कासनी थरुनि,सुनसरी,3,स्वतन्त्र,"""कासनी थरुनि"" सुनसरी 3|""कासनी थरुनि"""
कुमारी उराव,सुनसरी,3,स्वतन्त्र,"""कुमारी उराव"" सुनसरी 3|""कुमारी उराव"""
चीत नारायण चौधरी,सुनसरी,3,स्वतन्त्र,"""चीत नारायण चौधरी"" सुनसरी 3|""चीत नारायण चौधरी"""
राजन कुमार गौतम,सुनसरी,3,स्वतन्त्र,"""राजन कुमार गौतम"" सुनसरी 3|""राजन कुमार गौतम"""
श्याम कुमार मुडियारी,सुनसरी,3,स्वतन्त्र,"""श्याम कुमार मुडियारी"" सुनसरी 3|""श्याम कुमार मुडियारी"""
सुमन कुमारी चौधरी,सुनसरी,3,स्वतन्त्र,"""सुमन कुमारी चौधरी"" सुनसरी 3|""सुमन कुमारी चौधरी"""
जगदिश प्रसाद कुसियैत,सुनसरी,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Jgdish Prsad Kusiyait"" सुनसरी 4|""जगदिश प्रसाद कुसियैत"" सुनसरी 4|""Jgdish Prsad Kusiyait""|""जगदिश प्रसाद कुसियैत"""
ज्ञानेन्द्र बहादुर कार्की,सुनसरी,4,नेपाली काँग्रेस,"""Jnyanendr Bhadur Karki"" सुनसरी 4|""ज्ञानेन्द्र बहादुर कार्की"" सुनसरी 4|""Jnyanendr Bhadur Karki""|""ज्ञानेन्द्र बहादुर कार्की"""
महमद महफुज अंसारी,सुनसरी,4,नेपाली कम्युनिष्ट पार्टी,"""महमद महफुज अंसारी"" सुनसरी 4|""महमद महफुज अंसारी"""
दीपक कुमार साह,सुनसरी,4,राष्ट्रिय स्वतन्त्र पार्टी,"""Dipk Kumar Sah"" सुनसरी 4|""दीपक कुमार साह"" सुनसरी 4|""Dipk Kumar Sah""|""दीपक कुमार साह"""
प्रेम प्रसाद भट्टराई,सुनसरी,4,राष्ट्रिय प्रजातन्त्र पार्टी,"""Prem Prsad Bhttrai"" सुनसरी 4|""प्रेम प्रसाद भट्टराई"" सुनसरी 4|""Prem Prsad Bhttrai""|""प्रेम प्रसाद भट्टराई"""
सबिता यादव,सुनसरी,4,"जनता समाजवादी पार्टी, नेपाल","""Sbita Yadv"" सुनसरी 4|""सबिता यादव"" सुनसरी 4|""Sbita Yadv""|""सबिता यादव"""
कपलेश्वर यादव,सुनसरी,4,जनमत पार्टी,"""कपलेश्वर यादव"" सुनसरी 4|""कपलेश्वर यादव"""
चन्चला न्हिसुतु,सुनसरी,4,नेपाल मजदुर किसान पार्टी,"""चन्चला न्हिसुतु"" सुनसरी 4|""चन्चला न्हिसुतु"""
मनकुमार राई,सुनसरी,4,मंगोल नेशनल अर्गनाइजेसन,"""मनकुमार राई"" सुनसरी 4|""मनकुमार राई"""
रमेश कुमार साह,सुनसरी,4,नेपाल जनता पार्टी,"""रमेश कुमार साह"" सुनसरी 4|""रमेश कुमार साह"""
सत्य नारायण लहुटिया,सुनसरी,4,नेपाल कम्युनिष्ट पार्टी (संयुक्त),"""सत्य नारायण लहुटिया"" सुनसरी 4|""सत्य नारायण लहुटिया"""
एयुव अंसारी,सुनसरी,4,समावेशी समाजवादी पार्टी नेपाल,"""एयुव अंसारी"" सुनसरी 4|""एयुव अंसारी"""
मो.सदिक मियाँ,सुनसरी,4,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""मो.सदिक मियाँ"" सुनसरी 4|""मो.सदिक मियाँ"""
