CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,PowerSearchQuery
श्यामबाबु प्रसाद चौधरी,Shyambabu Prasad Chaudhary,बारा,bara,2,"(""श्यामबाबु प्रसाद चौधरी"" OR ""Shyambabu Prasad Chaudhary"") since:2025-09-05"
सुधिर कुमार साह,Sudhir Kumar Sah,बारा,bara,2,"(""सुधिर कुमार साह"" OR ""Sudhir Kumar Sah"") since:2025-09-05"
सुरेन्द्र प्रसाद यादव,Surendra Prasad Yadav,बारा,bara,2,"(""सुरेन्द्र प्रसाद यादव"" OR ""Surendra Prasad Yadav"") since:2025-09-05"
अस्‍मिन घिमिरे,As Min Ghimire,चितवन,chitwan,2,"(""अस्‍मिन घिमिरे"" OR ""As Min Ghimire"") since:2025-09-05"
इन्द्र बहादुर स्याङतान,Indra Bahadur Syangtan,चितवन,chitwan,2,"(""इन्द्र बहादुर स्याङतान"" OR ""Indra Bahadur Syangtan"") since:2025-09-05"
ऋषा गोले,Sha Gole,चितवन,chitwan,2,"(""ऋषा गोले"" OR ""Sha Gole"") since:2025-09-05"
कमान सिंह चौधरी,Kman Singh Chaudhary,चितवन,chitwan,2,"(""कमान सिंह चौधरी"" OR ""Kman Singh Chaudhary"") since:2025-09-05"
कृष्ण प्रसाद चापागाई,Krishna Prasad Chapagai,चितवन,chitwan,2,"(""कृष्ण प्रसाद चापागाई"" OR ""Krishna Prasad Chapagai"") since:2025-09-05"
जगदिश्वर अधिकारी,Jagadishwar Adhikari,चितवन,chitwan,2,"(""जगदिश्वर अधिकारी"" OR ""Jagadishwar Adhikari"") since:2025-09-05"
दिर्शना कुमारी शाही,Dirshana Kumari Shahi,चितवन,chitwan,2,"(""दिर्शना कुमारी शाही"" OR ""Dirshana Kumari Shahi"") since:2025-09-05"
देवी कुमारी मगर,Devi Kumari Magar,चितवन,chitwan,2,"(""देवी कुमारी मगर"" OR ""Devi Kumari Magar"") since:2025-09-05"
देवी शर्मा,Devi Sharma,चितवन,chitwan,2,"(""देवी शर्मा"" OR ""Devi Sharma"") since:2025-09-05"
नि.कुमार पाख्रीन,Ni Kumar Pakhrin,चितवन,chitwan,2,"(""नि.कुमार पाख्रीन"" OR ""Ni Kumar Pakhrin"") since:2025-09-05"
निर्मला कुमारी ठाकुर,Nirmla Kumari Thakur,चितवन,chitwan,2,"(""निर्मला कुमारी ठाकुर"" OR ""Nirmla Kumari Thakur"") since:2025-09-05"
प्रकाश बहादुर पाण्‍डे,Prakash Bahadur Pan De,चितवन,chitwan,2,"(""प्रकाश बहादुर पाण्‍डे"" OR ""Prakash Bahadur Pan De"") since:2025-09-05"
प्रताप गुरुङ्ग,Prtap Gurung,चितवन,chitwan,2,"(""प्रताप गुरुङ्ग"" OR ""Prtap Gurung"") since:2025-09-05"
प्रताप सिंह तमाङ्ग,Prtap Singh Tmangg,चितवन,chitwan,2,"(""प्रताप सिंह तमाङ्ग"" OR ""Prtap Singh Tmangg"") since:2025-09-05"
प्रविन सापकोटा,Pravin Sapkota,चितवन,chitwan,2,"(""प्रविन सापकोटा"" OR ""Pravin Sapkota"") since:2025-09-05"
मिना कुमारी खरेल,Mina Kumari Khrel,चितवन,chitwan,2,"(""मिना कुमारी खरेल"" OR ""Mina Kumari Khrel"") since:2025-09-05"
मिलन थापा मगर,Miln Thapa Magar,चितवन,chitwan,2,"(""मिलन थापा मगर"" OR ""Miln Thapa Magar"") since:2025-09-05"
रवि कुमाल,Rabi Kumal,चितवन,chitwan,2,"(""रवि कुमाल"" OR ""Rabi Kumal"") since:2025-09-05"
रवि लामिछाने,Rabi Lamichhane,चितवन,chitwan,2,"(""रवि लामिछाने"" OR ""Rabi Lamichhane"") since:2025-09-05"
शंकु प्रसाद जैसी,Shanku Prasad Jaisi,चितवन,chitwan,2,"(""शंकु प्रसाद जैसी"" OR ""Shanku Prasad Jaisi"") since:2025-09-05"
शक्ति राज गुरुङ,Shakti Raj Gurung,चितवन,chitwan,2,"(""शक्ति राज गुरुङ"" OR ""Shakti Raj Gurung"") since:2025-09-05"
शोभा बासुकला,Shobha Basukla,चितवन,chitwan,2,"(""शोभा बासुकला"" OR ""Shobha Basukla"") since:2025-09-05"
सुवास महतो,Suvas Mahato,चितवन,chitwan,2,"(""सुवास महतो"" OR ""Suvas Mahato"") since:2025-09-05"
खडक बहादुर ठकुराठी,Khadak Bahadur Thakurathi,डडेलधुरा,dadeldhura,1,"(""खडक बहादुर ठकुराठी"" OR ""Khadak Bahadur Thakurathi"") since:2025-09-05"
गोरख बहादुर ऐर,Gorkh Bahadur Air,डडेलधुरा,dadeldhura,1,"(""गोरख बहादुर ऐर"" OR ""Gorkh Bahadur Air"") since:2025-09-05"
गोविन्द खडायत,Govind Khdayt,डडेलधुरा,dadeldhura,1,"(""गोविन्द खडायत"" OR ""Govind Khdayt"") since:2025-09-05"
चक्र प्रसाद स्नेही,Chakra Prasad Snehi,डडेलधुरा,dadeldhura,1,"(""चक्र प्रसाद स्नेही"" OR ""Chakra Prasad Snehi"") since:2025-09-05"
चन्द्र देव वि‍.क.,Chandra Dev Vi K,डडेलधुरा,dadeldhura,1,"(""चन्द्र देव वि‍.क."" OR ""Chandra Dev Vi K"") since:2025-09-05"
तारा प्रसाद जोशी,Tara Prasad Joshi,डडेलधुरा,dadeldhura,1,"(""तारा प्रसाद जोशी"" OR ""Tara Prasad Joshi"") since:2025-09-05"
तिर्थ राज उप्रेती,Tirth Raj Upreti,डडेलधुरा,dadeldhura,1,"(""तिर्थ राज उप्रेती"" OR ""Tirth Raj Upreti"") since:2025-09-05"
नैन सिंह महर,Nain Singh Mahar,डडेलधुरा,dadeldhura,1,"(""नैन सिंह महर"" OR ""Nain Singh Mahar"") since:2025-09-05"
महेन्द्र पुन मगर,Mahendra Pun Magar,डडेलधुरा,dadeldhura,1,"(""महेन्द्र पुन मगर"" OR ""Mahendra Pun Magar"") since:2025-09-05"
मान सिह माल,Man Sih Mal,डडेलधुरा,dadeldhura,1,"(""मान सिह माल"" OR ""Man Sih Mal"") since:2025-09-05"
लक्ष्मी दत्त भट्ट,Lakshmi Datta Bhatt,डडेलधुरा,dadeldhura,1,"(""लक्ष्मी दत्त भट्ट"" OR ""Lakshmi Datta Bhatt"") since:2025-09-05"
सुरेन्द्र रावल,Surendra Rawal,डडेलधुरा,dadeldhura,1,"(""सुरेन्द्र रावल"" OR ""Surendra Rawal"") since:2025-09-05"
सुरेन्‍द्र राज भट्ट,Suren Dr Raj Bhatt,डडेलधुरा,dadeldhura,1,"(""सुरेन्‍द्र राज भट्ट"" OR ""Suren Dr Raj Bhatt"") since:2025-09-05"
अजय भण्डारी,Ajay Bhandari,धनुषा,dhanusha,1,"(""अजय भण्डारी"" OR ""Ajay Bhandari"") since:2025-09-05"
इन्द्रजित साफी,Indrajit Saphi,धनुषा,dhanusha,1,"(""इन्द्रजित साफी"" OR ""Indrajit Saphi"") since:2025-09-05"
औती कुमारी विश्वकर्मा,Auti Kumari Vishwakarma,धनुषा,dhanusha,1,"(""औती कुमारी विश्वकर्मा"" OR ""Auti Kumari Vishwakarma"") since:2025-09-05"
ककुलती कुमारी साह,Kkulti Kumari Sah,धनुषा,dhanusha,1,"(""ककुलती कुमारी साह"" OR ""Kkulti Kumari Sah"") since:2025-09-05"
किरण कुमारी कापर,Kiran Kumari Kapr,धनुषा,dhanusha,1,"(""किरण कुमारी कापर"" OR ""Kiran Kumari Kapr"") since:2025-09-05"
किरण कुमारी पासमान,Kiran Kumari Paswan,धनुषा,dhanusha,1,"(""किरण कुमारी पासमान"" OR ""Kiran Kumari Paswan"") since:2025-09-05"
किरण कुमारी यादब,Kiran Kumari Yadav,धनुषा,dhanusha,1,"(""किरण कुमारी यादब"" OR ""Kiran Kumari Yadav"") since:2025-09-05"
किशोरी साह कमल,Kishori Sah Kamal,धनुषा,dhanusha,1,"(""किशोरी साह कमल"" OR ""Kishori Sah Kamal"") since:2025-09-05"
चन्देश्‍वर दास तत्मा,Chandeshwar Das Tatma,धनुषा,dhanusha,1,"(""चन्देश्‍वर दास तत्मा"" OR ""Chandeshwar Das Tatma"") since:2025-09-05"
जगरनाथ मंडल,Jagarnath Mandal,धनुषा,dhanusha,1,"(""जगरनाथ मंडल"" OR ""Jagarnath Mandal"") since:2025-09-05"
जय कृष्ण साह,Jay Krishna Sah,धनुषा,dhanusha,1,"(""जय कृष्ण साह"" OR ""Jay Krishna Sah"") since:2025-09-05"
जितन राय अमात,Jitn Ray Amat,धनुषा,dhanusha,1,"(""जितन राय अमात"" OR ""Jitn Ray Amat"") since:2025-09-05"
दीपक कार्की,Deepak Karki,धनुषा,dhanusha,1,"(""दीपक कार्की"" OR ""Deepak Karki"") since:2025-09-05"
परशुराम साह,Prashuram Sah,धनुषा,dhanusha,1,"(""परशुराम साह"" OR ""Prashuram Sah"") since:2025-09-05"
परिक्षण यादव,Parikshan Yadav,धनुषा,dhanusha,1,"(""परिक्षण यादव"" OR ""Parikshan Yadav"") since:2025-09-05"
पवन कुमार यादव,Pvn Kumar Yadav,धनुषा,dhanusha,1,"(""पवन कुमार यादव"" OR ""Pvn Kumar Yadav"") since:2025-09-05"
बद्री नारायण ठाकुर सोनार,Badri Narayan Thakur Sonar,धनुषा,dhanusha,1,"(""बद्री नारायण ठाकुर सोनार"" OR ""Badri Narayan Thakur Sonar"") since:2025-09-05"
बाल कृष्ण यादव,Bal Krishna Yadav,धनुषा,dhanusha,1,"(""बाल कृष्ण यादव"" OR ""Bal Krishna Yadav"") since:2025-09-05"
बिहारी राय अमात,Bihari Ray Amat,धनुषा,dhanusha,1,"(""बिहारी राय अमात"" OR ""Bihari Ray Amat"") since:2025-09-05"
ब्रहमदेव महतो,Brahmadev Mahato,धनुषा,dhanusha,1,"(""ब्रहमदेव महतो"" OR ""Brahmadev Mahato"") since:2025-09-05"
मनमोहन प्रसाद यादव,Mnmohn Prasad Yadav,धनुषा,dhanusha,1,"(""मनमोहन प्रसाद यादव"" OR ""Mnmohn Prasad Yadav"") since:2025-09-05"
मनोज मल्ल ठकुरी,Manoj Malla Thkuri,धनुषा,dhanusha,1,"(""मनोज मल्ल ठकुरी"" OR ""Manoj Malla Thkuri"") since:2025-09-05"
महेश कुमार यादव,Mhesh Kumar Yadav,धनुषा,dhanusha,1,"(""महेश कुमार यादव"" OR ""Mhesh Kumar Yadav"") since:2025-09-05"
मातृका प्रसाद यादव,Matrika Prasad Yadav,धनुषा,dhanusha,1,"(""मातृका प्रसाद यादव"" OR ""Matrika Prasad Yadav"") since:2025-09-05"
रमेश्‍वर साहु सुडी,Ramesh Vr Sahu Sudi,धनुषा,dhanusha,1,"(""रमेश्‍वर साहु सुडी"" OR ""Ramesh Vr Sahu Sudi"") since:2025-09-05"
राज नारायण साह,Raj Narayan Sah,धनुषा,dhanusha,1,"(""राज नारायण साह"" OR ""Raj Narayan Sah"") since:2025-09-05"
राजेश कुमार सहनी,Rajesh Kumar Sahani,धनुषा,dhanusha,1,"(""राजेश कुमार सहनी"" OR ""Rajesh Kumar Sahani"") since:2025-09-05"
राम दुलारी महतो,Ram Dulari Mahato,धनुषा,dhanusha,1,"(""राम दुलारी महतो"" OR ""Ram Dulari Mahato"") since:2025-09-05"
राम पलटन साह,Ram Paltan Sah,धनुषा,dhanusha,1,"(""राम पलटन साह"" OR ""Ram Paltan Sah"") since:2025-09-05"
राम बहादुर लामा,Ram Bahadur Lama,धनुषा,dhanusha,1,"(""राम बहादुर लामा"" OR ""Ram Bahadur Lama"") since:2025-09-05"
रामचन्द्र मण्डल,Ramchandra Mandal,धनुषा,dhanusha,1,"(""रामचन्द्र मण्डल"" OR ""Ramchandra Mandal"") since:2025-09-05"
रामपृत दास तत्मा,Ramprit Das Tatma,धनुषा,dhanusha,1,"(""रामपृत दास तत्मा"" OR ""Ramprit Das Tatma"") since:2025-09-05"
रोशन कुमार साह,Roshn Kumar Sah,धनुषा,dhanusha,1,"(""रोशन कुमार साह"" OR ""Roshn Kumar Sah"") since:2025-09-05"
लालेश्वर यादव,Laleshwar Yadav,धनुषा,dhanusha,1,"(""लालेश्वर यादव"" OR ""Laleshwar Yadav"") since:2025-09-05"
विजय कुमार यादब,Vijay Kumar Yadav,धनुषा,dhanusha,1,"(""विजय कुमार यादब"" OR ""Vijay Kumar Yadav"") since:2025-09-05"
शारदा देवी घिसिङग्,Sharda Devi Ghisingg,धनुषा,dhanusha,1,"(""शारदा देवी घिसिङग्"" OR ""Sharda Devi Ghisingg"") since:2025-09-05"
सतार मंसुर,Star Mansur,धनुषा,dhanusha,1,"(""सतार मंसुर"" OR ""Star Mansur"") since:2025-09-05"
सुदिप कुमार यादव,Sudip Kumar Yadav,धनुषा,dhanusha,1,"(""सुदिप कुमार यादव"" OR ""Sudip Kumar Yadav"") since:2025-09-05"
सुदिश मंडल,Sudish Mandal,धनुषा,dhanusha,1,"(""सुदिश मंडल"" OR ""Sudish Mandal"") since:2025-09-05"
सुमन विश्‍वकर्मा,Suman Vishwakarma,धनुषा,dhanusha,1,"(""सुमन विश्‍वकर्मा"" OR ""Suman Vishwakarma"") since:2025-09-05"
सोचिन्दर यादव,Sochindr Yadav,धनुषा,dhanusha,1,"(""सोचिन्दर यादव"" OR ""Sochindr Yadav"") since:2025-09-05"
स‌ंजित कुमार साह,S Njit Kumar Sah,धनुषा,dhanusha,1,"(""स‌ंजित कुमार साह"" OR ""S Njit Kumar Sah"") since:2025-09-05"
अजय कुमार यादव,Ajay Kumar Yadav,धनुषा,dhanusha,3,"(""अजय कुमार यादव"" OR ""Ajay Kumar Yadav"") since:2025-09-05"
अमरेन्द्र कुमार झा,Amrendr Kumar Jha,धनुषा,dhanusha,3,"(""अमरेन्द्र कुमार झा"" OR ""Amrendr Kumar Jha"") since:2025-09-05"
अमित कुमार पाठक,Amit Kumar Pathak,धनुषा,dhanusha,3,"(""अमित कुमार पाठक"" OR ""Amit Kumar Pathak"") since:2025-09-05"
अरबिन्द कुमार पासवान,Arbind Kumar Paswan,धनुषा,dhanusha,3,"(""अरबिन्द कुमार पासवान"" OR ""Arbind Kumar Paswan"") since:2025-09-05"
आनन्द दास तत्मा,Annd Das Tatma,धनुषा,dhanusha,3,"(""आनन्द दास तत्मा"" OR ""Annd Das Tatma"") since:2025-09-05"
