CandidateName,DistrictName,ConstName,SmartKeywords
रामचन्द्र उप्रेती,झापा,1,"""रामचन्द्र उप्रेती""|""रामचन्द्र उप्रेती"" झापा 1"
केशव राज पाण्डे,झापा,1,"""केशव राज पाण्डे"" झापा 1|""केशव राज पाण्डे"""
अशेष घिमिरे,झापा,1,"""अशेष घिमिरे"" झापा 1"
निशा डाँगी,झापा,1,"""निशा डाँगी"" झापा 1|""निशा डाँगी"""
हेमराज कार्की,झापा,1,"""हेमराज कार्की"" झापा 1"
रमा मेचे,झापा,1,"""रमा मेचे"" झापा 1"
हिरण्य प्रसाद भट्टराई,झापा,1,"""हिरण्य प्रसाद भट्टराई"" झापा 1"
सन्तोष तामाङ्ग,झापा,1,"""सन्तोष तामाङ्ग"" झापा 1"
ओलीन राजवंशी,झापा,1,"""ओलीन राजवंशी"" झापा 1"
खान्द्रु करुवा,झापा,1,"""खान्द्रु करुवा"" झापा 1"
मान बहादुर साँवा(लिम्बु),झापा,1,"""मान बहादुर साँवा(लिम्बु)"" झापा 1"
केवलराम राई,झापा,1,"""केवलराम राई"" झापा 1"
नरेश कुमार लावती,झापा,1,"""नरेश कुमार लावती"" झापा 1"
गणेश कुमार खरेल,झापा,1,"""गणेश कुमार खरेल"" झापा 1"
दुर्गा प्रसाद साँवा लिम्वु,झापा,1,"""दुर्गा प्रसाद साँवा लिम्वु"" झापा 1"
देव राज घिमिरे,झापा,2,"""देव राज घिमिरे"" झापा 2|""देव राज घिमिरे"""
सरिता प्रसाई,झापा,2,"""सरिता प्रसाई"" झापा 2|""सरिता प्रसाई"""
धर्माशिला चापागाई,झापा,2,"""धर्माशिला चापागाई"" झापा 2"
इन्दिरा राना मगर,झापा,2,"""इन्दिरा राना मगर"" झापा 2|""इन्दिरा राना मगर"""
भद्र प्रसाद नेपाल,झापा,2,"""भद्र प्रसाद नेपाल"" झापा 2"
रमेश कुमार राजवंशी,झापा,2,"""रमेश कुमार राजवंशी"" झापा 2"
चन्द्र कुमारी गारु,झापा,2,"""चन्द्र कुमारी गारु"" झापा 2"
अकल बहादुर तामाङ्ग,झापा,2,"""अकल बहादुर तामाङ्ग"" झापा 2"
मान बहादुर पुलामी मगर,झापा,2,"""मान बहादुर पुलामी मगर"" झापा 2"
श्रीप्रसाद सिटौला,झापा,2,"""श्रीप्रसाद सिटौला"" झापा 2"
अमृता लावती,झापा,2,"""अमृता लावती"" झापा 2"
केशव कुमार भण्डारी,झापा,2,"""केशव कुमार भण्डारी"" झापा 2"
अर्जुन कुमार पाण्डे,झापा,2,"""अर्जुन कुमार पाण्डे"" झापा 2"
चुडा कर्ण बेघा,झापा,2,"""चुडा कर्ण बेघा"" झापा 2"
तिल बहादुर राई,झापा,2,"""तिल बहादुर राई"" झापा 2"
पुण्य  प्रसाद अार्चाय,झापा,2,"""पुण्य  प्रसाद अार्चाय"" झापा 2"
युवराज संग्रौला,झापा,2,"""युवराज संग्रौला"" झापा 2"
रमेश कुमार कार्की,झापा,2,"""रमेश कुमार कार्की"" झापा 2"
हरी बहादुर राजवंशी,झापा,3,"""हरी बहादुर राजवंशी""|""हरी बहादुर राजवंशी"" झापा 3"
राजेन्द्र कुमार घिमिरे,झापा,3,"""राजेन्द्र कुमार घिमिरे""|""राजेन्द्र कुमार घिमिरे"" झापा 3"
डिल्लीराम घिमिरे,झापा,3,"""डिल्लीराम घिमिरे"" झापा 3"
प्रकाश पाठक,झापा,3,"""प्रकाश पाठक""|""प्रकाश पाठक"" झापा 3"
राजेन्द्र प्रसाद लिङ्देन,झापा,3,"""राजेन्द्र प्रसाद लिङ्देन"" झापा 3"
कर्ण लाल राजवंशि,झापा,3,"""कर्ण लाल राजवंशि"" झापा 3"
हरसलाल राजवंशी,झापा,3,"""हरसलाल राजवंशी"" झापा 3"
धर्म लक्ष्मी दुवाल (लघु),झापा,3,"""धर्म लक्ष्मी दुवाल (लघु)"" झापा 3"
याम कुमार श्रेष्ठ,झापा,3,"""याम कुमार श्रेष्ठ"" झापा 3"
चन्द्रकला सावा,झापा,3,"""चन्द्रकला सावा"" झापा 3"
जयेन मगर,झापा,3,"""जयेन मगर"" झापा 3"
दिपक तिम्सिना,झापा,3,"""दिपक तिम्सिना"" झापा 3"
सन्तोष कटुवाल,झापा,3,"""सन्तोष कटुवाल"" झापा 3"
श्यामकृष्ण पाठक,झापा,3,"""श्यामकृष्ण पाठक"" झापा 3"
विनिता कुमारी राजवंशी,झापा,3,"""विनिता कुमारी राजवंशी"" झापा 3"
अभय राजवंशी,झापा,3,"""अभय राजवंशी"" झापा 3"
मानप्रकाश संग्रौला,झापा,3,"""मानप्रकाश संग्रौला"" झापा 3"
लाल प्रसाद साँवा लिम्बू,झापा,4,"""लाल प्रसाद साँवा लिम्बू""|""लाल प्रसाद साँवा लिम्बू"" झापा 4"
देउ कुमार थेवे,झापा,4,"""देउ कुमार थेवे"" झापा 4|""देउ कुमार थेवे"""
पुरुषोतम चुडाल,झापा,4,"""पुरुषोतम चुडाल"" झापा 4"
शम्भु प्रसाद ढकाल,झापा,4,"""शम्भु प्रसाद ढकाल""|""शम्भु प्रसाद ढकाल"" झापा 4"
