Candidate,EnglishName,Constituency,Author,Text
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,P.N.Rai,"जैसे सत्ता में आए थे, उसी तरह निपट गए। कम्युनिस्टों का पतन। प्रधानमंत्री आवास खाक। के पी शर्मा ओली फरार।  कम्युनिस्ट पार्टी ऑफ नेपाल और नेपाली कांग्रेस के दफ्तर जला दिए गए।  राष्ट्रवादियों की विजय।"
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,Waseem Zaidi,नेपाल: भक्तपुर स्थित पूर्व प्रधानमंत्री के.पी. शर्मा ओली के निजी आवास में आग लगने पर प्रदर्शनकारियों ने नाचते-गाते जश्न मनाया। कथित भ्रष्टाचार को लेकर सरकार के खिलाफ प्रदर्शनों के बीच नेपाल के प्रधानमंत्री ने आज दोपहर इस्तीफा दे दिया। #Nepal #NepalProtest #KPSharmaOli
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,DW Hindi,सोशल मीडिया पर पाबंदी का विरोध करने के साथ शुरू हुए आंदोलन में मंगलवार को प्रधानमंत्री के पी शर्मा ओली को इस्तीफा देना पड़ा. सोशल मीडिया पर पाबंदी नेपाल के लिए इतनी भयानक क्यों हो गई? #Nepal #Nepalprotest
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,FirstBiharJharkhand,नेपाल: भक्तपुर स्थित पूर्व प्रधानमंत्री के.पी. शर्मा ओली के निजी आवास में आग लगने के बाद प्रदर्शनकारियों ने नाचते-गाते जश्न मनाया। कथित भ्रष्टाचार को लेकर सरकार के खिलाफ प्रदर्शनों के बीच नेपाल के प्रधानमंत्री ने आज दोपहर इस्तीफा दे दिया।  #NepalProtest #KPSharmaOli #Bhaktapur
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,𝙹𝙴𝙴𝚃,नेपाल न्यूज   भक्तपुर स्थित पूर्व प्रधानमंत्री के.पी. शर्मा ओली के निजी आवास में आग लगने पर प्रदर्शनकारियों ने नाचते-गाते जश्न मनाया।
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,नास्तिक पक्याभाऊ महाराष्ट्र राज्य,फक्त माहितीसाठी  नेपालचा माजी पंतप्रधान के पी शर्मा ओली हे जातीने बामन होते तर आता होणारा पंतप्रधान बलेंद्र शहा हे नेवार बौद्ध समाजातील आहेत…!  आता सांगा कोणाची सत्ता गेली व कोणाची सत्ता आली   आंधभक्त बजाव गोली मार भेजे मै ढिचक्यों
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,News18 India,के.पी. शर्मा ओली के बयान पर नाराज़गी अयोध्या के संतों ने जताई नाराज़गी नेपाल की जनता के नाम लिखी चिट्ठी आंदोलन को अपने ख़िलाफ़ साज़िश बताया #SauBaatKiEkBaat |  @KishoreAjwani
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,LB Sahani,नेपाल में प्रदर्शनकारियों ने भक्तापुर में पूर्व प्रधानमंत्री के. पी. शर्मा ओली के खिलाफ कथित भ्रस्टाचार को लेकर उनके घर को लगा दी।
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,Ankit Kumar Avasthi,नेपाल में ऐतिहासिक राजनीतिक बदलाव!  Gen Z युवाओं के लगातार प्रदर्शनों और प्रधानमंत्री के.पी. शर्मा ओली के इस्तीफ़े के बाद नेपाल की कमान अब महिला शक्ति के हाथों में आ गई है।  73 वर्षीय सुशीला कार्की नेपाल की पहली महिला प्रधानमंत्री बनने जा रही हैं।   नेपाल की पूर्व मुख्य न्यायाधीश
के.पी शर्मा ओली,Ke Pi Sharma Oli,jhapa_5,ANI_HindiNews,"#WATCH  उत्तर प्रदेश के महाराजगंज के सोनौली में भारत-नेपाल सीमा का वीडियो, जहां नेपाल जाने वाले भारतीय नागरिक अपनी योजना रद्द कर अपने गृह राज्यों को लौट रहे हैं, क्योंकि पड़ोसी देश में हिंसक विरोध प्रदर्शन और सरकार में कथित भ्रष्टाचार को लेकर प्रधानमंत्री के.पी. शर्मा ओली के"
