Name,District,No,Party,Symbol,KeywordList
क्षितिज थेबे,ताप्लेजुङ,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""क्षितिज थेबे""|""क्षितिज"" ताप्लेजुङ|""क्षितिज"" 1|ताप्लेजुङ 1 चुनाव|#क्षितिज|""क्षितिज थेबे"" ताप्लेजुङ"
गजेन्द्र प्रसाद तुम्याङ लिम्बु,ताप्लेजुङ,1,नेपाली काँग्रेस,रुख,"""गजेन्द्र प्रसाद तुम्याङ लिम्बु""|""गजेन्द्र"" ताप्लेजुङ|""गजेन्द्र"" 1|ताप्लेजुङ 1 चुनाव|#गजेन्द्र|""गजेन्द्र प्रसाद तुम्याङ लिम्बु"" ताप्लेजुङ"
खेल प्रसाद बुडाक्षेत्री,ताप्लेजुङ,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""खेल प्रसाद बुडाक्षेत्री""|""खेल"" ताप्लेजुङ|""खेल"" 1|ताप्लेजुङ 1 चुनाव|#खेल|""खेल प्रसाद बुडाक्षेत्री"" ताप्लेजुङ"
बिरेन्द्र श्रेष्ठ,ताप्लेजुङ,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""बिरेन्द्र श्रेष्ठ""|""बिरेन्द्र"" ताप्लेजुङ|""बिरेन्द्र"" 1|ताप्लेजुङ 1 चुनाव|#बिरेन्द्र|""बिरेन्द्र श्रेष्ठ"" ताप्लेजुङ"
ईन्द्र प्रसाद थापा,ताप्लेजुङ,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""ईन्द्र प्रसाद थापा""|""ईन्द्र"" ताप्लेजुङ|""ईन्द्र"" 1|ताप्लेजुङ 1 चुनाव|#ईन्द्र|""ईन्द्र प्रसाद थापा"" ताप्लेजुङ"
सूर्य गुरुङ,ताप्लेजुङ,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"""सूर्य गुरुङ""|""सूर्य"" ताप्लेजुङ|""सूर्य"" 1|ताप्लेजुङ 1 चुनाव|#सूर्य|""सूर्य गुरुङ"" ताप्लेजुङ"
सन्त बहादुर लिम्बु,ताप्लेजुङ,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"""सन्त बहादुर लिम्बु""|""सन्त"" ताप्लेजुङ|""सन्त"" 1|ताप्लेजुङ 1 चुनाव|#सन्त|""सन्त बहादुर लिम्बु"" ताप्लेजुङ"
इन्द्र कुमार लिम्बू,ताप्लेजुङ,1,नेपाल जनमुक्ति पार्टी,घर,"""इन्द्र कुमार लिम्बू""|""इन्द्र"" ताप्लेजुङ|""इन्द्र"" 1|ताप्लेजुङ 1 चुनाव|#इन्द्र|""इन्द्र कुमार लिम्बू"" ताप्लेजुङ"
"मुकसाम लाबुङ, लिम्बु",ताप्लेजुङ,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"""मुकसाम लाबुङ, लिम्बु""|""मुकसाम"" ताप्लेजुङ|""मुकसाम"" 1|ताप्लेजुङ 1 चुनाव|#मुकसाम|""मुकसाम लाबुङ, लिम्बु"" ताप्लेजुङ"
सन्तोष राई,ताप्लेजुङ,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"""सन्तोष राई""|""सन्तोष"" ताप्लेजुङ|""सन्तोष"" 1|ताप्लेजुङ 1 चुनाव|#सन्तोष|""सन्तोष राई"" ताप्लेजुङ"
नरपती पौडेल,ताप्लेजुङ,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"""नरपती पौडेल""|""नरपती"" ताप्लेजुङ|""नरपती"" 1|ताप्लेजुङ 1 चुनाव|#नरपती|""नरपती पौडेल"" ताप्लेजुङ"
किर्ती मान मादेन,ताप्लेजुङ,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"""किर्ती मान मादेन""|""किर्ती"" ताप्लेजुङ|""किर्ती"" 1|ताप्लेजुङ 1 चुनाव|#किर्ती|""किर्ती मान मादेन"" ताप्लेजुङ"
अरुन सुब्बा (लेछर्वो),ताप्लेजुङ,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"""अरुन सुब्बा (लेछर्वो)""|""अरुन"" ताप्लेजुङ|""अरुन"" 1|ताप्लेजुङ 1 चुनाव|#अरुन|""अरुन सुब्बा (लेछर्वो)"" ताप्लेजुङ"
अइन्द्र सुन्दर नेम्वाङ,पाँचथर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""अइन्द्र सुन्दर नेम्वाङ""|""अइन्द्र"" पाँचथर|""अइन्द्र"" 1|पाँचथर 1 चुनाव|#अइन्द्र|""अइन्द्र सुन्दर नेम्वाङ"" पाँचथर"
नरेन्द्र कुमार केरुङ,पाँचथर,1,नेपाली काँग्रेस,रुख,"""नरेन्द्र कुमार केरुङ""|""नरेन्द्र"" पाँचथर|""नरेन्द्र"" 1|पाँचथर 1 चुनाव|#नरेन्द्र|""नरेन्द्र कुमार केरुङ"" पाँचथर"
हर्क बहादुर नेम्बाङ,पाँचथर,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""हर्क बहादुर नेम्बाङ""|""हर्क"" पाँचथर|""हर्क"" 1|पाँचथर 1 चुनाव|#हर्क|""हर्क बहादुर नेम्बाङ"" पाँचथर"
महेन्द्र विक्रम थाम्सुहाङ,पाँचथर,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""महेन्द्र विक्रम थाम्सुहाङ""|""महेन्द्र"" पाँचथर|""महेन्द्र"" 1|पाँचथर 1 चुनाव|#महेन्द्र|""महेन्द्र विक्रम थाम्सुहाङ"" पाँचथर"
तेज कुमार कुरुम्वाङ्ग,पाँचथर,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""तेज कुमार कुरुम्वाङ्ग""|""तेज"" पाँचथर|""तेज"" 1|पाँचथर 1 चुनाव|#तेज|""तेज कुमार कुरुम्वाङ्ग"" पाँचथर"
मचिन्द्र प्रसाद बेघा,पाँचथर,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"""मचिन्द्र प्रसाद बेघा""|""मचिन्द्र"" पाँचथर|""मचिन्द्र"" 1|पाँचथर 1 चुनाव|#मचिन्द्र|""मचिन्द्र प्रसाद बेघा"" पाँचथर"
लक्षुमान तामाङ,पाँचथर,1,नेपाल मजदुर किसान पार्टी,मादल,"""लक्षुमान तामाङ""|""लक्षुमान"" पाँचथर|""लक्षुमान"" 1|पाँचथर 1 चुनाव|#लक्षुमान|""लक्षुमान तामाङ"" पाँचथर"
प्रकाश काफ्ले,पाँचथर,1,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,"""प्रकाश काफ्ले""|""प्रकाश"" पाँचथर|""प्रकाश"" 1|पाँचथर 1 चुनाव|#प्रकाश|""प्रकाश काफ्ले"" पाँचथर"
राम कुमार तुम्रोक,पाँचथर,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"""राम कुमार तुम्रोक""|""राम"" पाँचथर|""राम"" 1|पाँचथर 1 चुनाव|#राम|""राम कुमार तुम्रोक"" पाँचथर"
नरेन्द्र प्रसाद कुरुम्‍वाङ,पाँचथर,1,नेपाल जनमुक्ति पार्टी,घर,"""नरेन्द्र प्रसाद कुरुम्‍वाङ""|""नरेन्द्र"" पाँचथर|""नरेन्द्र"" 1|पाँचथर 1 चुनाव|#नरेन्द्र|""नरेन्द्र प्रसाद कुरुम्‍वाङ"" पाँचथर"
टेकबहादुर सुब्बा,पाँचथर,1,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,"""टेकबहादुर सुब्बा""|""टेकबहादुर"" पाँचथर|""टेकबहादुर"" 1|पाँचथर 1 चुनाव|#टेकबहादुर|""टेकबहादुर सुब्बा"" पाँचथर"
भानु भक्त फियाक,पाँचथर,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"""भानु भक्त फियाक""|""भानु"" पाँचथर|""भानु"" 1|पाँचथर 1 चुनाव|#भानु|""भानु भक्त फियाक"" पाँचथर"
हस्त राज शेर्मा,पाँचथर,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"""हस्त राज शेर्मा""|""हस्त"" पाँचथर|""हस्त"" 1|पाँचथर 1 चुनाव|#हस्त|""हस्त राज शेर्मा"" पाँचथर"
विजय नेम्वाङ,पाँचथर,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"""विजय नेम्वाङ""|""विजय"" पाँचथर|""विजय"" 1|पाँचथर 1 चुनाव|#विजय|""विजय नेम्वाङ"" पाँचथर"
मित्र लिङदेन,पाँचथर,1,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),"""मित्र लिङदेन""|""मित्र"" पाँचथर|""मित्र"" 1|पाँचथर 1 चुनाव|#मित्र|""मित्र लिङदेन"" पाँचथर"
काजी मान कागते,इलाम,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""काजी मान कागते""|""काजी"" इलाम|""काजी"" 1|इलाम 1 चुनाव|#काजी|""काजी मान कागते"" इलाम"
निश्कल राई,इलाम,1,नेपाली काँग्रेस,रुख,"""निश्कल राई""|""निश्कल"" इलाम|""निश्कल"" 1|इलाम 1 चुनाव|#निश्कल|""निश्कल राई"" इलाम"
रन बहादुर राई,इलाम,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""रन बहादुर राई""|""रन"" इलाम|""रन"" 1|इलाम 1 चुनाव|#रन|""रन बहादुर राई"" इलाम"
विमल गदाल,इलाम,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""विमल गदाल""|""विमल"" इलाम|""विमल"" 1|इलाम 1 चुनाव|#विमल|""विमल गदाल"" इलाम"
ज्वाला  नेपाल ,इलाम,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""ज्वाला  नेपाल ""|""ज्वाला"" इलाम|""ज्वाला"" 1|इलाम 1 चुनाव|#ज्वाला|""ज्वाला  नेपाल "" इलाम"
तुल्सी केशरी प्रजापति (छुंजु),इलाम,1,नेपाल मजदुर किसान पार्टी,मादल,"""तुल्सी केशरी प्रजापति (छुंजु)""|""तुल्सी"" इलाम|""तुल्सी"" 1|इलाम 1 चुनाव|#तुल्सी|""तुल्सी केशरी प्रजापति (छुंजु)"" इलाम"
बुद्ध लाल मेचे,इलाम,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"""बुद्ध लाल मेचे""|""बुद्ध"" इलाम|""बुद्ध"" 1|इलाम 1 चुनाव|#बुद्ध|""बुद्ध लाल मेचे"" इलाम"
डम्बर सिंह लिम्बु,इलाम,1,नेपाल जनमुक्ति पार्टी,घर,"""डम्बर सिंह लिम्बु""|""डम्बर"" इलाम|""डम्बर"" 1|इलाम 1 चुनाव|#डम्बर|""डम्बर सिंह लिम्बु"" इलाम"
राम प्रसाद लिम्बू,इलाम,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"""राम प्रसाद लिम्बू""|""राम"" इलाम|""राम"" 1|इलाम 1 चुनाव|#राम|""राम प्रसाद लिम्बू"" इलाम"
विनोद नेम्बाङ्ग लिम्बु,इलाम,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"""विनोद नेम्बाङ्ग लिम्बु""|""विनोद"" इलाम|""विनोद"" 1|इलाम 1 चुनाव|#विनोद|""विनोद नेम्बाङ्ग लिम्बु"" इलाम"
नारदमणी साङपाङ्ग,इलाम,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"""नारदमणी साङपाङ्ग""|""नारदमणी"" इलाम|""नारदमणी"" 1|इलाम 1 चुनाव|#नारदमणी|""नारदमणी साङपाङ्ग"" इलाम"
हरि बहादुर गुरुङ,इलाम,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"""हरि बहादुर गुरुङ""|""हरि"" इलाम|""हरि"" 1|इलाम 1 चुनाव|#हरि|""हरि बहादुर गुरुङ"" इलाम"
लिला बहादुर सुनुवार,इलाम,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"""लिला बहादुर सुनुवार""|""लिला"" इलाम|""लिला"" 1|इलाम 1 चुनाव|#लिला|""लिला बहादुर सुनुवार"" इलाम"
सुहाङ नेम्बाङ,इलाम,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""सुहाङ नेम्बाङ""|""सुहाङ"" इलाम|""सुहाङ"" 2|इलाम 2 चुनाव|#सुहाङ|""सुहाङ नेम्बाङ"" इलाम"
भेषराज आचार्य,इलाम,2,नेपाली काँग्रेस,रुख,"""भेषराज आचार्य""|""भेषराज"" इलाम|""भेषराज"" 2|इलाम 2 चुनाव|#भेषराज|""भेषराज आचार्य"" इलाम"
ओम बहादुर गुरुङ्ग,इलाम,2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""ओम बहादुर गुरुङ्ग""|""ओम"" इलाम|""ओम"" 2|इलाम 2 चुनाव|#ओम|""ओम बहादुर गुरुङ्ग"" इलाम"
गोकुल बहादुर राई,इलाम,2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""गोकुल बहादुर राई""|""गोकुल"" इलाम|""गोकुल"" 2|इलाम 2 चुनाव|#गोकुल|""गोकुल बहादुर राई"" इलाम"
गणेश प्रसाद दुलाल,इलाम,2,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""गणेश प्रसाद दुलाल""|""गणेश"" इलाम|""गणेश"" 2|इलाम 2 चुनाव|#गणेश|""गणेश प्रसाद दुलाल"" इलाम"
श्याम बहादुर लिम्वु,इलाम,2,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"""श्याम बहादुर लिम्वु""|""श्याम"" इलाम|""श्याम"" 2|इलाम 2 चुनाव|#श्याम|""श्याम बहादुर लिम्वु"" इलाम"
याम वहादुर लिम्बु,इलाम,2,नेपाल जनमुक्ति पार्टी,घर,"""याम वहादुर लिम्बु""|""याम"" इलाम|""याम"" 2|इलाम 2 चुनाव|#याम|""याम वहादुर लिम्बु"" इलाम"
दिवस राई,इलाम,2,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,"""दिवस राई""|""दिवस"" इलाम|""दिवस"" 2|इलाम 2 चुनाव|#दिवस|""दिवस राई"" इलाम"
सादर सिं लिङदेन (लिम्बु),इलाम,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"""सादर सिं लिङदेन (लिम्बु)""|""सादर"" इलाम|""सादर"" 2|इलाम 2 चुनाव|#सादर|""सादर सिं लिङदेन (लिम्बु)"" इलाम"
सुदिप राई,इलाम,2,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"""सुदिप राई""|""सुदिप"" इलाम|""सुदिप"" 2|इलाम 2 चुनाव|#सुदिप|""सुदिप राई"" इलाम"
होम प्रसाद खतिवडा,इलाम,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"""होम प्रसाद खतिवडा""|""होम"" इलाम|""होम"" 2|इलाम 2 चुनाव|#होम|""होम प्रसाद खतिवडा"" इलाम"
पवित्रा लिम्बु तुम्वाङफे,इलाम,2,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,"""पवित्रा लिम्बु तुम्वाङफे""|""पवित्रा"" इलाम|""पवित्रा"" 2|इलाम 2 चुनाव|#पवित्रा|""पवित्रा लिम्बु तुम्वाङफे"" इलाम"
बल बहादुर आङदेम्बे,इलाम,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"""बल बहादुर आङदेम्बे""|""बल"" इलाम|""बल"" 2|इलाम 2 चुनाव|#बल|""बल बहादुर आङदेम्बे"" इलाम"
डाक प्रसाद गौतम,इलाम,2,स्वतन्त्र,मुढा,"""डाक प्रसाद गौतम""|""डाक"" इलाम|""डाक"" 2|इलाम 2 चुनाव|#डाक|""डाक प्रसाद गौतम"" इलाम"
रामचन्द्र उप्रेती,झापा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""रामचन्द्र उप्रेती""|""रामचन्द्र"" झापा|""रामचन्द्र"" 1|झापा 1 चुनाव|#रामचन्द्र|""रामचन्द्र उप्रेती"" झापा"
केशव राज पाण्डे,झापा,1,नेपाली काँग्रेस,रुख,"""केशव राज पाण्डे""|""केशव"" झापा|""केशव"" 1|झापा 1 चुनाव|#केशव|""केशव राज पाण्डे"" झापा"
अशेष घिमिरे,झापा,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""अशेष घिमिरे""|""अशेष"" झापा|""अशेष"" 1|झापा 1 चुनाव|#अशेष|""अशेष घिमिरे"" झापा"
निशा डाँगी,झापा,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""निशा डाँगी""|""निशा"" झापा|""निशा"" 1|झापा 1 चुनाव|#निशा|""निशा डाँगी"" झापा"
हेमराज कार्की,झापा,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""हेमराज कार्की""|""हेमराज"" झापा|""हेमराज"" 1|झापा 1 चुनाव|#हेमराज|""हेमराज कार्की"" झापा"
रमा मेचे,झापा,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"""रमा मेचे""|""रमा"" झापा|""रमा"" 1|झापा 1 चुनाव|#रमा|""रमा मेचे"" झापा"
हिरण्य प्रसाद भट्टराई,झापा,1,नेपाल मजदुर किसान पार्टी,मादल,"""हिरण्य प्रसाद भट्टराई""|""हिरण्य"" झापा|""हिरण्य"" 1|झापा 1 चुनाव|#हिरण्य|""हिरण्य प्रसाद भट्टराई"" झापा"
सन्तोष तामाङ्ग,झापा,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"""सन्तोष तामाङ्ग""|""सन्तोष"" झापा|""सन्तोष"" 1|झापा 1 चुनाव|#सन्तोष|""सन्तोष तामाङ्ग"" झापा"
ओलीन राजवंशी,झापा,1,नेपाल सद्भावना पार्टी,पञ्जा छाप,"""ओलीन राजवंशी""|""ओलीन"" झापा|""ओलीन"" 1|झापा 1 चुनाव|#ओलीन|""ओलीन राजवंशी"" झापा"
खान्द्रु करुवा,झापा,1,नेपाल जनमुक्ति पार्टी,घर,"""खान्द्रु करुवा""|""खान्द्रु"" झापा|""खान्द्रु"" 1|झापा 1 चुनाव|#खान्द्रु|""खान्द्रु करुवा"" झापा"
मान बहादुर साँवा(लिम्बु),झापा,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"""मान बहादुर साँवा(लिम्बु)""|""मान"" झापा|""मान"" 1|झापा 1 चुनाव|#मान|""मान बहादुर साँवा(लिम्बु)"" झापा"
केवलराम राई,झापा,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"""केवलराम राई""|""केवलराम"" झापा|""केवलराम"" 1|झापा 1 चुनाव|#केवलराम|""केवलराम राई"" झापा"
नरेश कुमार लावती,झापा,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"""नरेश कुमार लावती""|""नरेश"" झापा|""नरेश"" 1|झापा 1 चुनाव|#नरेश|""नरेश कुमार लावती"" झापा"
गणेश कुमार खरेल,झापा,1,स्वतन्त्र,क्यामरा,"""गणेश कुमार खरेल""|""गणेश"" झापा|""गणेश"" 1|झापा 1 चुनाव|#गणेश|""गणेश कुमार खरेल"" झापा"
दुर्गा प्रसाद साँवा लिम्वु,झापा,1,स्वतन्त्र,क्याप,"""दुर्गा प्रसाद साँवा लिम्वु""|""दुर्गा"" झापा|""दुर्गा"" 1|झापा 1 चुनाव|#दुर्गा|""दुर्गा प्रसाद साँवा लिम्वु"" झापा"
देव राज घिमिरे,झापा,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""देव राज घिमिरे""|""देव"" झापा|""देव"" 2|झापा 2 चुनाव|#देव|""देव राज घिमिरे"" झापा"
सरिता प्रसाई,झापा,2,नेपाली काँग्रेस,रुख,"""सरिता प्रसाई""|""सरिता"" झापा|""सरिता"" 2|झापा 2 चुनाव|#सरिता|""सरिता प्रसाई"" झापा"
धर्माशिला चापागाई,झापा,2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""धर्माशिला चापागाई""|""धर्माशिला"" झापा|""धर्माशिला"" 2|झापा 2 चुनाव|#धर्माशिला|""धर्माशिला चापागाई"" झापा"
इन्दिरा राना मगर,झापा,2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""इन्दिरा राना मगर""|""इन्दिरा"" झापा|""इन्दिरा"" 2|झापा 2 चुनाव|#इन्दिरा|""इन्दिरा राना मगर"" झापा"
भद्र प्रसाद नेपाल,झापा,2,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""भद्र प्रसाद नेपाल""|""भद्र"" झापा|""भद्र"" 2|झापा 2 चुनाव|#भद्र|""भद्र प्रसाद नेपाल"" झापा"
रमेश कुमार राजवंशी,झापा,2,जनमत पार्टी,लाउड स्पिकर,"""रमेश कुमार राजवंशी""|""रमेश"" झापा|""रमेश"" 2|झापा 2 चुनाव|#रमेश|""रमेश कुमार राजवंशी"" झापा"
चन्द्र कुमारी गारु,झापा,2,नेपाल मजदुर किसान पार्टी,मादल,"""चन्द्र कुमारी गारु""|""चन्द्र"" झापा|""चन्द्र"" 2|झापा 2 चुनाव|#चन्द्र|""चन्द्र कुमारी गारु"" झापा"
अकल बहादुर तामाङ्ग,झापा,2,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"""अकल बहादुर तामाङ्ग""|""अकल"" झापा|""अकल"" 2|झापा 2 चुनाव|#अकल|""अकल बहादुर तामाङ्ग"" झापा"
मान बहादुर पुलामी मगर,झापा,2,नेपाल जनमुक्ति पार्टी,घर,"""मान बहादुर पुलामी मगर""|""मान"" झापा|""मान"" 2|झापा 2 चुनाव|#मान|""मान बहादुर पुलामी मगर"" झापा"
श्रीप्रसाद सिटौला,झापा,2,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,"""श्रीप्रसाद सिटौला""|""श्रीप्रसाद"" झापा|""श्रीप्रसाद"" 2|झापा 2 चुनाव|#श्रीप्रसाद|""श्रीप्रसाद सिटौला"" झापा"
अमृता लावती,झापा,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"""अमृता लावती""|""अमृता"" झापा|""अमृता"" 2|झापा 2 चुनाव|#अमृता|""अमृता लावती"" झापा"
केशव कुमार भण्डारी,झापा,2,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"""केशव कुमार भण्डारी""|""केशव"" झापा|""केशव"" 2|झापा 2 चुनाव|#केशव|""केशव कुमार भण्डारी"" झापा"
अर्जुन कुमार पाण्डे,झापा,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"""अर्जुन कुमार पाण्डे""|""अर्जुन"" झापा|""अर्जुन"" 2|झापा 2 चुनाव|#अर्जुन|""अर्जुन कुमार पाण्डे"" झापा"
चुडा कर्ण बेघा,झापा,2,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"""चुडा कर्ण बेघा""|""चुडा"" झापा|""चुडा"" 2|झापा 2 चुनाव|#चुडा|""चुडा कर्ण बेघा"" झापा"
तिल बहादुर राई,झापा,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"""तिल बहादुर राई""|""तिल"" झापा|""तिल"" 2|झापा 2 चुनाव|#तिल|""तिल बहादुर राई"" झापा"
पुण्य  प्रसाद अार्चाय,झापा,2,स्वतन्त्र,सारङ्‌गी,"""पुण्य  प्रसाद अार्चाय""|""पुण्य"" झापा|""पुण्य"" 2|झापा 2 चुनाव|#पुण्य|""पुण्य  प्रसाद अार्चाय"" झापा"
युवराज संग्रौला,झापा,2,स्वतन्त्र,पंखा,"""युवराज संग्रौला""|""युवराज"" झापा|""युवराज"" 2|झापा 2 चुनाव|#युवराज|""युवराज संग्रौला"" झापा"
रमेश कुमार कार्की,झापा,2,स्वतन्त्र,भँगेरा,"""रमेश कुमार कार्की""|""रमेश"" झापा|""रमेश"" 2|झापा 2 चुनाव|#रमेश|""रमेश कुमार कार्की"" झापा"
हरी बहादुर राजवंशी,झापा,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""हरी बहादुर राजवंशी""|""हरी"" झापा|""हरी"" 3|झापा 3 चुनाव|#हरी|""हरी बहादुर राजवंशी"" झापा"
राजेन्द्र कुमार घिमिरे,झापा,3,नेपाली काँग्रेस,रुख,"""राजेन्द्र कुमार घिमिरे""|""राजेन्द्र"" झापा|""राजेन्द्र"" 3|झापा 3 चुनाव|#राजेन्द्र|""राजेन्द्र कुमार घिमिरे"" झापा"
डिल्लीराम घिमिरे,झापा,3,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""डिल्लीराम घिमिरे""|""डिल्लीराम"" झापा|""डिल्लीराम"" 3|झापा 3 चुनाव|#डिल्लीराम|""डिल्लीराम घिमिरे"" झापा"
प्रकाश पाठक,झापा,3,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""प्रकाश पाठक""|""प्रकाश"" झापा|""प्रकाश"" 3|झापा 3 चुनाव|#प्रकाश|""प्रकाश पाठक"" झापा"
राजेन्द्र प्रसाद लिङ्देन,झापा,3,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""राजेन्द्र प्रसाद लिङ्देन""|""राजेन्द्र"" झापा|""राजेन्द्र"" 3|झापा 3 चुनाव|#राजेन्द्र|""राजेन्द्र प्रसाद लिङ्देन"" झापा"
कर्ण लाल राजवंशि,झापा,3,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"""कर्ण लाल राजवंशि""|""कर्ण"" झापा|""कर्ण"" 3|झापा 3 चुनाव|#कर्ण|""कर्ण लाल राजवंशि"" झापा"
हरसलाल राजवंशी,झापा,3,जनमत पार्टी,लाउड स्पिकर,"""हरसलाल राजवंशी""|""हरसलाल"" झापा|""हरसलाल"" 3|झापा 3 चुनाव|#हरसलाल|""हरसलाल राजवंशी"" झापा"
धर्म लक्ष्मी दुवाल (लघु),झापा,3,नेपाल मजदुर किसान पार्टी,मादल,"""धर्म लक्ष्मी दुवाल (लघु)""|""धर्म"" झापा|""धर्म"" 3|झापा 3 चुनाव|#धर्म|""धर्म लक्ष्मी दुवाल (लघु)"" झापा"
याम कुमार श्रेष्ठ,झापा,3,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"""याम कुमार श्रेष्ठ""|""याम"" झापा|""याम"" 3|झापा 3 चुनाव|#याम|""याम कुमार श्रेष्ठ"" झापा"
चन्द्रकला सावा,झापा,3,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"""चन्द्रकला सावा""|""चन्द्रकला"" झापा|""चन्द्रकला"" 3|झापा 3 चुनाव|#चन्द्रकला|""चन्द्रकला सावा"" झापा"
जयेन मगर,झापा,3,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,"""जयेन मगर""|""जयेन"" झापा|""जयेन"" 3|झापा 3 चुनाव|#जयेन|""जयेन मगर"" झापा"
