Name,District,No,Party,Symbol,KeywordList
सुजित कुमार दास,धनुषा,2,स्वतन्त्र,कप र प्लेट,"""सुजित कुमार दास""|""सुजित"" धनुषा|""सुजित"" 2|धनुषा 2 चुनाव|#सुजित|""सुजित कुमार दास"" धनुषा"
ज्ञान कुमार यादब,धनुषा,2,स्वतन्त्र,ऊँट,"""ज्ञान कुमार यादब""|""ज्ञान"" धनुषा|""ज्ञान"" 2|धनुषा 2 चुनाव|#ज्ञान|""ज्ञान कुमार यादब"" धनुषा"
जुली कुमारी महतो (महासेठ),धनुषा,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""जुली कुमारी महतो (महासेठ)""|""जुली"" धनुषा|""जुली"" 3|धनुषा 3 चुनाव|#जुली|""जुली कुमारी महतो (महासेठ)"" धनुषा"
विमलेन्द्र निधि,धनुषा,3,नेपाली काँग्रेस,रुख,"""विमलेन्द्र निधि""|""विमलेन्द्र"" धनुषा|""विमलेन्द्र"" 3|धनुषा 3 चुनाव|#विमलेन्द्र|""विमलेन्द्र निधि"" धनुषा"
रामललित मंडल,धनुषा,3,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""रामललित मंडल""|""रामललित"" धनुषा|""रामललित"" 3|धनुषा 3 चुनाव|#रामललित|""रामललित मंडल"" धनुषा"
मनिष झा,धनुषा,3,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""मनिष झा""|""मनिष"" धनुषा|""मनिष"" 3|धनुषा 3 चुनाव|#मनिष|""मनिष झा"" धनुषा"
हुसैन कवारी,धनुषा,3,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""हुसैन कवारी""|""हुसैन"" धनुषा|""हुसैन"" 3|धनुषा 3 चुनाव|#हुसैन|""हुसैन कवारी"" धनुषा"
परमेश्‍वर साह सुडी,धनुषा,3,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"""परमेश्‍वर साह सुडी""|""परमेश्‍वर"" धनुषा|""परमेश्‍वर"" 3|धनुषा 3 चुनाव|#परमेश्‍वर|""परमेश्‍वर साह सुडी"" धनुषा"
गोपाल प्रसाद साह,धनुषा,3,जनमत पार्टी,लाउड स्पिकर,"""गोपाल प्रसाद साह""|""गोपाल"" धनुषा|""गोपाल"" 3|धनुषा 3 चुनाव|#गोपाल|""गोपाल प्रसाद साह"" धनुषा"
गंगा लक्ष्मी वैद्य,धनुषा,3,नेपाल मजदुर किसान पार्टी,मादल,"""गंगा लक्ष्मी वैद्य""|""गंगा"" धनुषा|""गंगा"" 3|धनुषा 3 चुनाव|#गंगा|""गंगा लक्ष्मी वैद्य"" धनुषा"
अमरेन्द्र कुमार झा,धनुषा,3,नेपाल जनता पार्टी,कमलको फूल,"""अमरेन्द्र कुमार झा""|""अमरेन्द्र"" धनुषा|""अमरेन्द्र"" 3|धनुषा 3 चुनाव|#अमरेन्द्र|""अमरेन्द्र कुमार झा"" धनुषा"
चन्दन कुमार झा,धनुषा,3,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,"""चन्दन कुमार झा""|""चन्दन"" धनुषा|""चन्दन"" 3|धनुषा 3 चुनाव|#चन्दन|""चन्दन कुमार झा"" धनुषा"
सदाम हुसैन,धनुषा,3,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"""सदाम हुसैन""|""सदाम"" धनुषा|""सदाम"" 3|धनुषा 3 चुनाव|#सदाम|""सदाम हुसैन"" धनुषा"
रमेन्द्र कुमार कर्ण,धनुषा,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"""रमेन्द्र कुमार कर्ण""|""रमेन्द्र"" धनुषा|""रमेन्द्र"" 3|धनुषा 3 चुनाव|#रमेन्द्र|""रमेन्द्र कुमार कर्ण"" धनुषा"
प्रमोद कुमार साह,धनुषा,3,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"""प्रमोद कुमार साह""|""प्रमोद"" धनुषा|""प्रमोद"" 3|धनुषा 3 चुनाव|#प्रमोद|""प्रमोद कुमार साह"" धनुषा"
राजीव कुमार झा,धनुषा,3,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),"""राजीव कुमार झा""|""राजीव"" धनुषा|""राजीव"" 3|धनुषा 3 चुनाव|#राजीव|""राजीव कुमार झा"" धनुषा"
सवनम खातुन साफी,धनुषा,3,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,"""सवनम खातुन साफी""|""सवनम"" धनुषा|""सवनम"" 3|धनुषा 3 चुनाव|#सवनम|""सवनम खातुन साफी"" धनुषा"
प्रदिप विक्रम साह,धनुषा,3,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,"""प्रदिप विक्रम साह""|""प्रदिप"" धनुषा|""प्रदिप"" 3|धनुषा 3 चुनाव|#प्रदिप|""प्रदिप विक्रम साह"" धनुषा"
अजय कुमार यादव,धनुषा,3,स्वतन्त्र,प्रेसर कुकर,"""अजय कुमार यादव""|""अजय"" धनुषा|""अजय"" 3|धनुषा 3 चुनाव|#अजय|""अजय कुमार यादव"" धनुषा"
अमित कुमार पाठक,धनुषा,3,स्वतन्त्र,झोला,"""अमित कुमार पाठक""|""अमित"" धनुषा|""अमित"" 3|धनुषा 3 चुनाव|#अमित|""अमित कुमार पाठक"" धनुषा"
अरबिन्द कुमार पासवान,धनुषा,3,स्वतन्त्र,मुढा,"""अरबिन्द कुमार पासवान""|""अरबिन्द"" धनुषा|""अरबिन्द"" 3|धनुषा 3 चुनाव|#अरबिन्द|""अरबिन्द कुमार पासवान"" धनुषा"
आनन्द दास तत्मा,धनुषा,3,स्वतन्त्र,जीप,"""आनन्द दास तत्मा""|""आनन्द"" धनुषा|""आनन्द"" 3|धनुषा 3 चुनाव|#आनन्द|""आनन्द दास तत्मा"" धनुषा"
कृष्ण कुमार साह,धनुषा,3,स्वतन्त्र,टि टेवल,"""कृष्ण कुमार साह""|""कृष्ण"" धनुषा|""कृष्ण"" 3|धनुषा 3 चुनाव|#कृष्ण|""कृष्ण कुमार साह"" धनुषा"
