Name,District,ConstNo,Party,Keywords,FileSaveName,DistrictEng
तुल्सी केशरी प्रजापति (छुंजु),इलाम,1,नेपाल मजदुर किसान पार्टी,"""तुल्सी केशरी प्रजापति (छुंजु)"" इलाम 1",ilam_1.csv,Ilam
बुद्ध लाल मेचे,इलाम,1,मंगोल नेशनल अर्गनाइजेसन,"""बुद्ध लाल मेचे"" इलाम 1",ilam_1.csv,Ilam
डम्बर सिंह लिम्बु,इलाम,1,नेपाल जनमुक्ति पार्टी,"""डम्बर सिंह लिम्बु"" इलाम 1",ilam_1.csv,Ilam
राम प्रसाद लिम्बू,इलाम,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""राम प्रसाद लिम्बू"" इलाम 1",ilam_1.csv,Ilam
विनोद नेम्बाङ्ग लिम्बु,इलाम,1,श्रम संस्कृति पार्टी,"""विनोद नेम्बाङ्ग लिम्बु"" इलाम 1",ilam_1.csv,Ilam
नारदमणी साङपाङ्ग,इलाम,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""नारदमणी साङपाङ्ग"" इलाम 1",ilam_1.csv,Ilam
हरि बहादुर गुरुङ,इलाम,1,उज्यालो नेपाल पार्टी,"""हरि बहादुर गुरुङ"" इलाम 1",ilam_1.csv,Ilam
लिला बहादुर सुनुवार,इलाम,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),"""लिला बहादुर सुनुवार"" इलाम 1",ilam_1.csv,Ilam
सुहाङ नेम्बाङ,इलाम,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""सुहाङ नेम्बाङ"" इलाम 2",ilam_2.csv,Ilam
भेषराज आचार्य,इलाम,2,नेपाली काँग्रेस,"""भेषराज आचार्य"" इलाम 2",ilam_2.csv,Ilam
ओम बहादुर गुरुङ्ग,इलाम,2,नेपाली कम्युनिष्ट पार्टी,"""ओम बहादुर गुरुङ्ग"" इलाम 2",ilam_2.csv,Ilam
गोकुल बहादुर राई,इलाम,2,राष्ट्रिय स्वतन्त्र पार्टी,"""गोकुल बहादुर राई"" इलाम 2",ilam_2.csv,Ilam
गणेश प्रसाद दुलाल,इलाम,2,राष्ट्रिय प्रजातन्त्र पार्टी,"""गणेश प्रसाद दुलाल"" इलाम 2",ilam_2.csv,Ilam
श्याम बहादुर लिम्वु,इलाम,2,मंगोल नेशनल अर्गनाइजेसन,"""श्याम बहादुर लिम्वु"" इलाम 2",ilam_2.csv,Ilam
याम वहादुर लिम्बु,इलाम,2,नेपाल जनमुक्ति पार्टी,"""याम वहादुर लिम्बु"" इलाम 2",ilam_2.csv,Ilam
दिवस राई,इलाम,2,राष्ट्रिय परिवर्तन पार्टी,"""दिवस राई"" इलाम 2",ilam_2.csv,Ilam
सादर सिं लिङदेन (लिम्बु),इलाम,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""सादर सिं लिङदेन (लिम्बु)"" इलाम 2",ilam_2.csv,Ilam
सुदिप राई,इलाम,2,श्रम संस्कृति पार्टी,"""सुदिप राई"" इलाम 2",ilam_2.csv,Ilam
होम प्रसाद खतिवडा,इलाम,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""होम प्रसाद खतिवडा"" इलाम 2",ilam_2.csv,Ilam
पवित्रा लिम्बु तुम्वाङफे,इलाम,2,राष्ट्रिय जनमुक्ति पार्टी,"""पवित्रा लिम्बु तुम्वाङफे"" इलाम 2",ilam_2.csv,Ilam
बल बहादुर आङदेम्बे,इलाम,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),"""बल बहादुर आङदेम्बे"" इलाम 2",ilam_2.csv,Ilam
डाक प्रसाद गौतम,इलाम,2,स्वतन्त्र,"""डाक प्रसाद गौतम"" इलाम 2",ilam_2.csv,Ilam
रामचन्द्र उप्रेती,झापा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""रामचन्द्र उप्रेती"" झापा 1",jhapa_1.csv,Jhapa
केशव राज पाण्डे,झापा,1,नेपाली काँग्रेस,"""केशव राज पाण्डे"" झापा 1",jhapa_1.csv,Jhapa
अशेष घिमिरे,झापा,1,नेपाली कम्युनिष्ट पार्टी,"""अशेष घिमिरे"" झापा 1",jhapa_1.csv,Jhapa
निशा डाँगी,झापा,1,राष्ट्रिय स्वतन्त्र पार्टी,"""निशा डाँगी"" झापा 1",jhapa_1.csv,Jhapa
हेमराज कार्की,झापा,1,राष्ट्रिय प्रजातन्त्र पार्टी,"""हेमराज कार्की"" झापा 1",jhapa_1.csv,Jhapa
रमा मेचे,झापा,1,"जनता समाजवादी पार्टी, नेपाल","""रमा मेचे"" झापा 1",jhapa_1.csv,Jhapa
हिरण्य प्रसाद भट्टराई,झापा,1,नेपाल मजदुर किसान पार्टी,"""हिरण्य प्रसाद भट्टराई"" झापा 1",jhapa_1.csv,Jhapa
सन्तोष तामाङ्ग,झापा,1,मंगोल नेशनल अर्गनाइजेसन,"""सन्तोष तामाङ्ग"" झापा 1",jhapa_1.csv,Jhapa
ओलीन राजवंशी,झापा,1,नेपाल सद्भावना पार्टी,"""ओलीन राजवंशी"" झापा 1",jhapa_1.csv,Jhapa
खान्द्रु करुवा,झापा,1,नेपाल जनमुक्ति पार्टी,"""खान्द्रु करुवा"" झापा 1",jhapa_1.csv,Jhapa
मान बहादुर साँवा(लिम्बु),झापा,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""मान बहादुर साँवा(लिम्बु)"" झापा 1",jhapa_1.csv,Jhapa
केवलराम राई,झापा,1,श्रम संस्कृति पार्टी,"""केवलराम राई"" झापा 1",jhapa_1.csv,Jhapa
नरेश कुमार लावती,झापा,1,उज्यालो नेपाल पार्टी,"""नरेश कुमार लावती"" झापा 1",jhapa_1.csv,Jhapa
गणेश कुमार खरेल,झापा,1,स्वतन्त्र,"""गणेश कुमार खरेल"" झापा 1",jhapa_1.csv,Jhapa
दुर्गा प्रसाद साँवा लिम्वु,झापा,1,स्वतन्त्र,"""दुर्गा प्रसाद साँवा लिम्वु"" झापा 1",jhapa_1.csv,Jhapa
देव राज घिमिरे,झापा,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""देव राज घिमिरे"" झापा 2",jhapa_2.csv,Jhapa
सरिता प्रसाई,झापा,2,नेपाली काँग्रेस,"""सरिता प्रसाई"" झापा 2",jhapa_2.csv,Jhapa
धर्माशिला चापागाई,झापा,2,नेपाली कम्युनिष्ट पार्टी,"""धर्माशिला चापागाई"" झापा 2",jhapa_2.csv,Jhapa
इन्दिरा राना मगर,झापा,2,राष्ट्रिय स्वतन्त्र पार्टी,"""इन्दिरा राना मगर"" झापा 2",jhapa_2.csv,Jhapa
भद्र प्रसाद नेपाल,झापा,2,राष्ट्रिय प्रजातन्त्र पार्टी,"""भद्र प्रसाद नेपाल"" झापा 2",jhapa_2.csv,Jhapa
रमेश कुमार राजवंशी,झापा,2,जनमत पार्टी,"""रमेश कुमार राजवंशी"" झापा 2",jhapa_2.csv,Jhapa
चन्द्र कुमारी गारु,झापा,2,नेपाल मजदुर किसान पार्टी,"""चन्द्र कुमारी गारु"" झापा 2",jhapa_2.csv,Jhapa
अकल बहादुर तामाङ्ग,झापा,2,मंगोल नेशनल अर्गनाइजेसन,"""अकल बहादुर तामाङ्ग"" झापा 2",jhapa_2.csv,Jhapa
मान बहादुर पुलामी मगर,झापा,2,नेपाल जनमुक्ति पार्टी,"""मान बहादुर पुलामी मगर"" झापा 2",jhapa_2.csv,Jhapa
श्रीप्रसाद सिटौला,झापा,2,नेपाल कम्युनिष्ट पार्टी (संयुक्त),"""श्रीप्रसाद सिटौला"" झापा 2",jhapa_2.csv,Jhapa
अमृता लावती,झापा,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""अमृता लावती"" झापा 2",jhapa_2.csv,Jhapa
केशव कुमार भण्डारी,झापा,2,श्रम संस्कृति पार्टी,"""केशव कुमार भण्डारी"" झापा 2",jhapa_2.csv,Jhapa
अर्जुन कुमार पाण्डे,झापा,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""अर्जुन कुमार पाण्डे"" झापा 2",jhapa_2.csv,Jhapa
चुडा कर्ण बेघा,झापा,2,उज्यालो नेपाल पार्टी,"""चुडा कर्ण बेघा"" झापा 2",jhapa_2.csv,Jhapa
तिल बहादुर राई,झापा,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),"""तिल बहादुर राई"" झापा 2",jhapa_2.csv,Jhapa
पुण्य  प्रसाद अार्चाय,झापा,2,स्वतन्त्र,"""पुण्य  प्रसाद अार्चाय"" झापा 2",jhapa_2.csv,Jhapa
युवराज संग्रौला,झापा,2,स्वतन्त्र,"""युवराज संग्रौला"" झापा 2",jhapa_2.csv,Jhapa
रमेश कुमार कार्की,झापा,2,स्वतन्त्र,"""रमेश कुमार कार्की"" झापा 2",jhapa_2.csv,Jhapa
हरी बहादुर राजवंशी,झापा,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""हरी बहादुर राजवंशी"" झापा 3",jhapa_3.csv,Jhapa
राजेन्द्र कुमार घिमिरे,झापा,3,नेपाली काँग्रेस,"""राजेन्द्र कुमार घिमिरे"" झापा 3",jhapa_3.csv,Jhapa
