Constituency,DistrictEnglish,DistrictNepali,CandidateEnglish,CandidateNepali,Source,Title,URL,Snippet,Content,RelevanceScore,ScrapedAt
2,chitwan,चितवन,Indra Bahadur Syangtan,इन्द्र बहादुर स्याङतान,DuckDuckGo,इन्द्र बहादुर स्याङतान - सजिलो पत्रिका,https://www.sajilopatrika.com/wiki/indra-bahadur-syangtan,इन्द्र बहादुर स्याङतानचितवन क्षेत्र नं. २ बाट प्रतिनिधि सभानिर्वाचन२०८२ मा स्वतन्त्र उम्मेदवारका रूपमा चुनावी मैदानमा ...,इन्द्र बहादुर स्याङतानचितवन क्षेत्र नं. २ बाट प्रतिनिधि सभानिर्वाचन२०८२ मा स्वतन्त्र उम्मेदवारका रूपमा चुनावी मैदानमा ...,7,2026-03-05T10:44:12.790912
2,chitwan,चितवन,Indra Bahadur Syangtan,इन्द्र बहादुर स्याङतान,DuckDuckGo,इन्द्र बहादुर स्याङतान - नेपाल निर्वाचन २०८२ - प्रतिनिधिसभाको निर्वाचन ...,https://election.ekantipur.com/profile/2225?lng=nep,"इन्द्र बहादुर स्याङतानकोनिर्वाचनप्रोफाइल, उमेर ४८ वर्ष, पार्टी,निर्वाचनक्षेत्र चितवन-२, शिक्षा, अनुभव रनिर्वाचन२०८२ को नतिजा।","इन्द्र बहादुर स्याङतानकोनिर्वाचनप्रोफाइल, उमेर ४८ वर्ष, पार्टी,निर्वाचनक्षेत्र चितवन-२, शिक्षा, अनुभव रनिर्वाचन२०८२ को नतिजा।",5,2026-03-05T10:44:12.790931
2,chitwan,चितवन,Indra Bahadur Syangtan,इन्द्र बहादुर स्याङतान,DuckDuckGo,ChangeNepal - इन्द्र बहादुर स्याङतान,https://www.changenepal.org/election/candidate/indra-bahadur-syanatan/election-2082,"ChangeNepal is a review platform that allows citizens to track the political records of parties, businesses, and individuals, and leave reviews and ratings based on their experiences. Join the discussion and make your voice heard for a more transparent and accountable society.","ChangeNepal is a review platform that allows citizens to track the political records of parties, businesses, and individuals, and leave reviews and ratings based on their experiences. Join the discussion and make your voice heard for a more transparent and accountable society.",3,2026-03-05T10:44:12.790933
2,chitwan,चितवन,Indra Bahadur Syangtan,इन्द्र बहादुर स्याङतान,DuckDuckGo,Chitwan - 2 Candidates 2082: Official Profiles | चितवन - 2 | Nepal ...,https://election2082.erkshitiz.com.np/explore/bagmati/chitwan/chitwan-2,"List of election candidates 2082 in Chitwan -2. Detailed info on शोभा बासुकला, प्रताप सिंह तमाङ्ग,इन्द्र बहादुर स्याङतान, शक्ति राज गुरुङ, ऋषा गोले, देवी शर्मा, अस्‍मिन घिमिरे, प्रताप ...","List of election candidates 2082 in Chitwan -2. Detailed info on शोभा बासुकला, प्रताप सिंह तमाङ्ग,इन्द्र बहादुर स्याङतान, शक्ति राज गुरुङ, ऋषा गोले, देवी शर्मा, अस्‍मिन घिमिरे, प्रताप ...",2,2026-03-05T10:44:12.790934
2,chitwan,चितवन,Indra Bahadur Syangtan,इन्द्र बहादुर स्याङतान,OnlineKhabar,Recent rhino death investigation flags deep security concerns in Chitwan National Park,https://english.onlinekhabar.com/rhino-death-security-concern-chitwan.html,,"Recent rhino death investigation flags deep security concerns in Chitwan National Park Subas Pandit Tuesday, December 5, 2023 0 Comments A rhino was trapped in a pit and killed by poachers in Chitwan National Park. The committee assigned to investigate the killing of two rhinos in Chitwan National Park has raised concerns about the park’s security. The committee was formed on November 18 under the leadership of Bed Kumar Dhakal, the chief conservation officer of Chitwan National Park after the two rhinos were killed inside the national park using traditional methods by trapping them in a pit. The committee’s report states that the killing happened due to ineffective patrolling around the national park, indicating insufficient efforts and suggesting a need for improved security measures. According to the report, a significant portion of the patrolling efforts was concentrated on the coastal area of the Rapti River. Consequently, the core area and the rhino’s habitat did not receive adequate attention. Furthermore, the report highlights a deficiency in innovative strategies for poacher control, long-range patrol, informer management, and information collection. It suggests a need for fresh and effective approaches in addressing these aspects of park security. The report also points out a lack of monitoring for an individual who had previously been imprisoned for poaching. Poachers using old ways A one-horned rhino is found dead in Chitwan, the biggest protected habitat of rhinos in Nepal, on December 13, 2021. Photo: Deepak Pokharel The report states a six-year-old female rhino was trapped in a pit measuring 2.6 metres in length, 1.1 metres in width, and 1.5 metres in depth, which had been dug by poachers. Likewise, an 18-year-old female rhino was also trapped similar a pit measuring 2.5 metres in length, 1.4 metres in width, and 1.5 metres in depth. Investigations have revealed that the larger rhino fell into the pit initially, and a week later, the smaller one also became trapped in the same trap. The larger rhino sustained fatal injuries, including a broken neck and ribs, resulting in its death. On the other hand, the smaller rhino did not die immediately upon falling into the pit, according to the report. Poachers shot the smaller rhino from a close distance and used a sharp weapon to kill it. The committee says the poachers had set up a makeshift shelter near the pit site, evident from the presence of firelighters, pieces of clothes, and water bottles. The poachers then cut the rhino horns and cleaned them. The committee is surprised how the park administration remained uninformed throughout the entire incident. According to the report, the poachers had dug seven pits inside the park, a process that spanned over 20 days. The rhinos were discovered dead in the pits only during a search operation initiated to locate the missing elephants of the park. According to park officials, the rhinos had been killed 20 days before the discovery. The report",0,2026-03-05T10:44:12.790936
2,chitwan,चितवन,Indra Bahadur Syangtan,इन्द्र बहादुर स्याङतान,OnlineKhabar,"2 years ago in Kathmandu, Dzi bead robbery made police dizzy. Now, they’ve got a lead",https://english.onlinekhabar.com/2-years-ago-in-kathmandu-dzi-bead-robbery-made-police-dizzy-now-theyve-got-a-lead.html,,"2 years ago in Kathmandu, Dzi bead robbery made police dizzy. Now, they’ve got a lead Gaurav Pokharel Thursday, March 4, 2021 1 Comments For Japanese national Tenjin Shimizu, July 27, 2019, remains a day that he will never forget. Tenjin was fast asleep at his home in Tinchuli, Bauddha of Kathmandu, on a rainy night when suddenly he heard a thud. The clock showed 2 am as he got up, anxious and scared, to see what was going on. As he left his room, he got hit on the back of his head leaving him in a minimally conscious state. When he recalls that night, he still gets shivers down his spine. “The incident still haunts me,” Tenjin tells Onlinekhabar. When Tenjin regained consciousness, he saw his wife Mutsumi with a knife on her neck, hands tied behind her back. Fearing that the goons would kill his wife, he pleaded with them. But, they did not let her go. The attackers initially told Tenjin that they were cops. But, Tenjin wondered why the police would come to people’s homes at 2 am with knives in hand. Hoping it was a mistake, and they would let him go, he told them that he had just arrived from Japan. The goons, puzzled, started to talk to one another. One clicked his photograph while another asked him for his passport to click a photo of it. They sent both the photographs to someone else. As soon as they sent the photographs, they received a text. Maybe that was a green signal that they were at the right house, hence started to threaten the Japanese family. These four men have been arrested by the police for further questioning. The incident “Do as we say or be killed,” yelled one of the goons. Scared, Tenjin told them to take whatever they wanted and spare his and his family’s lives. He had to comply with the goons as even his sons 12-year-old Norbu Zamling Nyima and 11-year-old Jikme Om Dorjee had also been taken hostage by them along with his wife. With Tenjin under control and willing to do anything, the goons started to raid the house as the police do. They flipped mattresses, opened all the cupboards and searched every nook and cranny of the house. The goons started to assemble all the money and jewellery the Shimizu family had. They had every valuable thing that the family owned, but one of them asked Tenjin where the Dzi beads were. They were interested in the Dzi beads because they are extremely expensive and quite rare as they can cost up to $100,000 per bead. Original Dzi beads can cost up to $100,000. Photo: Wikimedia Commons “I had a collection of three Dzi beads as they are meant to provide spiritual benefits. It was quite costly too, around Rs 40 million. Now when I look back, maybe that is why they came to my house,” he says. Realising that their lives were more important than the beads, he handed them over to the goons. Along with the beads, they also took with them Rs 600,000, € 700, HK$ 2,000 and  ¥ 80,000 in cash. When the goons were escaping, they attacked Tenjin again. And, in a bid to avoid being hurt, he jumped out of the",0,2026-03-05T10:44:12.790938
2,chitwan,चितवन,Indra Bahadur Syangtan,इन्द्र बहादुर स्याङतान,OnlineKhabar,A new test for Oli as Balen gains ground in Jhapa-5,https://english.onlinekhabar.com/oli-vs-balen-gains-ground-in-jhapa-5.html,,"A new test for Oli as Balen gains ground in Jhapa-5 Prasun Sangroula Friday, February 27, 2026 0 Comments Jhapa: As Nepal approaches its parliamentary elections on March 5, the political atmosphere across the country has grown increasingly charged. Specifically in  Jhapa-5, the contest appears particularly intense because it features K.P. Sharma Oli, chairman of the Communist Party of Nepal (Unified Marxist–Leninist), against Balendra Shah, widely known as Balen, a senior leader of the Rastriya Swatantra Party (RSP). Both men are viewed as potential prime ministerial contenders if their parties secure enough seats in Parliament. Jhapa-5 has long been considered Oli’s political stronghold. With the exception of the elections held around the 2006 people’s movement, he has consistently won here. Yet this year, the mood appears different. From tea shops and neighbourhood gatherings to street vendors and rickshaw drivers, conversations suggest that  Oli’s victory is no longer viewed as inevitable. When Balen arrived in Damak on January 20 to file his candidacy , an unusually large crowd gathered at the town square, a scene not witnessed for other challengers in previous elections. Since that day, his presence in the constituency has been difficult to ignore. Who ultimately prevails will be determined only after ballots are counted. But Balen’s growing visibility has become a central feature of the campaign. A long-time UML party activist in Jhapa-5, speaking on condition of anonymity, said he had decided to vote for Balen in the direct race. “We supported K.P. Oli for many years, but now we have little hope left,” he says. “With someone new, at least there is a possibility of change.” The activist, who lives in an informal settlement, said Oli had repeatedly promised land ownership certificates to residents but failed to deliver. “We stood by him continuously. But this time we will not accept what we see as false assurances.” Such defections are unusual in a constituency widely regarded as a UML bastion. The activist added that while he would vote for Balen in the first-past-the-post race, he would still support UML under the proportional representation system. Another local party worker from the Nepali Congress, also speaking anonymously, described Balen’s influence as “genuinely strong.” He said he planned to vote for his party under proportional representation but would support the Rastriya Swatantra Party in the direct contest. “From what we see on the ground, either Balen or the Rastriya Swatantra Party could come out on top,” he says, adding that the Congress candidate appeared comparatively weak. “This constituency has trusted Oli many times, but people feel the expected results did not follow.” Local grievances extend beyond partisan politics. Landowners affected by the proposed East–West railway project say their property has been frozen for years without compensation. Some residents blame Oli for failing to resolve the issue during his tenur",0,2026-03-05T10:44:12.790940
