CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName
कविता भट्टराई,Kavita Bhattarai,गोरखा,gorkha,1
केदार मणी खनाल,Kedar Mani Khanal,गोरखा,gorkha,1
जित बहादुर घले,Jit Bahadur Ghale,गोरखा,gorkha,1
देव बहादुर थापा,Dev Bahadur Thapa,गोरखा,gorkha,1
प्रेम कुमार खत्री,Prem Kumar Khatri,गोरखा,gorkha,1
मनु कुमारी श्रेष्‍ठ,Manu Kumari Shrestha,गोरखा,gorkha,1
राम चन्द्र लामिछाने,Ram Chandra Lamichhane,गोरखा,gorkha,1
रामकाजी राना मगर,Ramkaji Rana Magar,गोरखा,gorkha,1
विष्णु प्रसाद रिजाल,Vishnu Prasad Rijal,गोरखा,gorkha,1
सुधन गुरुङ,Sudhan Gurung,गोरखा,gorkha,1
हरि राज अधिकारी,Hari Raj Adhikari,गोरखा,gorkha,1
अभय राजवंशी,Abhay Rajbanshi,झापा,jhapa,3
कर्ण लाल राजवंशि,Karna Lal Rajbanshi,झापा,jhapa,3
चन्द्रकला सावा,Chandrakala Sawa,झापा,jhapa,3
जयेन मगर,Jayen Magar,झापा,jhapa,3
डिल्लीराम घिमिरे,Dilliram Ghimire,झापा,jhapa,3
दिपक तिम्सिना,Deepak Timsina,झापा,jhapa,3
धर्म लक्ष्मी दुवाल (लघु),Dharm Lakshmi Duwal (Laghu),झापा,jhapa,3
प्रकाश पाठक,Prakash Pathak,झापा,jhapa,3
मानप्रकाश संग्रौला,Manprakash Sangraula,झापा,jhapa,3
याम कुमार श्रेष्ठ,Yam Kumar Shrestha,झापा,jhapa,3
राजेन्द्र कुमार घिमिरे,Rajendra Kumar Ghimire,झापा,jhapa,3
राजेन्द्र प्रसाद लिङ्देन,Rajendra Prasad Lingden,झापा,jhapa,3
विनिता कुमारी राजवंशी,Vinita Kumari Rajbanshi,झापा,jhapa,3
श्यामकृष्ण पाठक,Shyamkrishna Pathak,झापा,jhapa,3
सन्तोष कटुवाल,Santosh Katuwal,झापा,jhapa,3
हरसलाल राजवंशी,Harishlal Rajbanshi,झापा,jhapa,3
हरी बहादुर राजवंशी,Hari Bahadur Rajbanshi,झापा,jhapa,3
अमृत रसाइलि,Amrit Rsaili,झापा,jhapa,5
अमृतलाल महतो,Amritlal Mahato,झापा,jhapa,5
अर्जुन सापकोटा,Arjun Sapkota,झापा,jhapa,5
के.पी शर्मा ओली,K.P. Sharma Oli,झापा,jhapa,5
खेमनाथ शिवाकोटी,Khemnath Shivakoti,झापा,jhapa,5
डम्वर शाहु,Dambar Shahu,झापा,jhapa,5
धर्मराज गुरागाई,Dharmraj Guragai,झापा,jhapa,5
धिरेन सुब्बा,Dhiren Subba,झापा,jhapa,5
पदम बहादुर जवेगु,Padam Bahadur Jvegu,झापा,jhapa,5
पुस्कर खतिवडा,Puskar Khatiwada,झापा,jhapa,5
प्रकाश नेपाल,Prakash Nepal,झापा,jhapa,5
मंधरा चिमरिया,Mandhara Chimariya,झापा,jhapa,5
मातृका भट्टराई,Matrika Bhattarai,झापा,jhapa,5
रञ्जना गौतम,Ranjana Gautam,झापा,jhapa,5
रन्जित तामाङ,Ranjit Tamang,झापा,jhapa,5
लक्ष्मी प्रसाद संग्रौला,Lakshmi Prasad Sangraula,झापा,jhapa,5
वालेन्द्र शाह,Balendra Shah,झापा,jhapa,5
विपुल गुरागाई,Vipul Guragai,झापा,jhapa,5
शोभा भण्डारी,Shobha Bhandari,झापा,jhapa,5
संजय राई,Sanjay Rai,झापा,jhapa,5
समिर तामाङ्ग,Samir Tamang,झापा,jhapa,5
सविन राई,Savin Rai,झापा,jhapa,5
सान बहादुर मेचे,San Bahadur Meche,झापा,jhapa,5
सुशान्त साम्पङ राइ,Sushant Sampang Rai,झापा,jhapa,5
अर्जुन बहादुर शाही,Arjun Bahadur Shahi,काठमाडौं,kathmandu,1
असिम मान सिंह वस्नयात,Asim Man Singh Basnyat,काठमाडौं,kathmandu,1
इन्द्र प्रसाद श्रेष्ठ,Indra Prasad Shrestha,काठमाडौं,kathmandu,1
कमल कोइराला,Kamal Koirala,काठमाडौं,kathmandu,1
कमल सुवेदी,Kamal Suvedi,काठमाडौं,kathmandu,1
किरण शाह,Kiran Shah,काठमाडौं,kathmandu,1
कुमार शाही,Kumar Shahi,काठमाडौं,kathmandu,1
कुशल खत्री,Kushal Khatri,काठमाडौं,kathmandu,1
धनराज शाही,Dhanraj Shahi,काठमाडौं,kathmandu,1
प्रकाश नायजु,Prakash Nayju,काठमाडौं,kathmandu,1
प्रबल  थापा क्षेत्री ,Prabal Thapa Chhetri,काठमाडौं,kathmandu,1
मंग लाल श्रेष्‍ठ,Manglal Shrestha,काठमाडौं,kathmandu,1
मेनुका भण्डारी,Menuka Bhandari,काठमाडौं,kathmandu,1
मोहन राज रेग्मी,Mohan Raj Regmi,काठमाडौं,kathmandu,1
रन्‍जु न्‍यौपाने,Ranju Nyaupane,काठमाडौं,kathmandu,1
रमिला ज्याख्व(सुवाल),Ramila Jyakhwa (Suwal),काठमाडौं,kathmandu,1
रमेश प्रसाद जोशी,Ramesh Prasad Joshi,काठमाडौं,kathmandu,1
रवीन्द्र मिश्र,Rabindra Mishra,काठमाडौं,kathmandu,1
राज कुमार बजगाई,Raj Kumar Bajgai,काठमाडौं,kathmandu,1
राज कुमार लिम्‍बु,Raj Kumar Limbu,काठमाडौं,kathmandu,1
राजु भुजेल,Raju Bhujel,काठमाडौं,kathmandu,1
शम्भु पोखरेल,Shambhu Pokharel,काठमाडौं,kathmandu,1
शान्ती श्रेष्ठ,Shanti Shrestha,काठमाडौं,kathmandu,1
संगित बम्म,Sangit Bam,काठमाडौं,kathmandu,1
सबिन सिग्देल,Sabin Sigdel,काठमाडौं,kathmandu,1
समिर  लामा तामाङ ,Samir Lama Tamang,काठमाडौं,kathmandu,1
सागर जोशी,Sagar Joshi,काठमाडौं,kathmandu,1
सुरेन्द्र प्रसाद ढकाल,Surendra Prasad Dhakal,काठमाडौं,kathmandu,1
सुरेन्‍द्र पाण्‍डे,Surendra Pandey,काठमाडौं,kathmandu,1
कुल बहादुर लामा,Kul Bahadur Lama,काठमाडौं,kathmandu,3
कुलमान घिसिङ्,Kulman Ghising,काठमाडौं,kathmandu,3
केशव नेपाल,Keshav Nepal,काठमाडौं,kathmandu,3
जित बहादुर तामाङ,Jit Bahadur Tamang,काठमाडौं,kathmandu,3
निरज लामा,Niraj Lama,काठमाडौं,kathmandu,3
प्रदिप काफ्ले,Pradip Kaphle,काठमाडौं,kathmandu,3
प्रनिल ध्वज कार्की,Pranil Dhwaj Karki,काठमाडौं,kathmandu,3
प्रेम छिरी शेर्पा,Prem Chhiri Sherpa,काठमाडौं,kathmandu,3
बाबु काजी कार्की,Babu Kaji Karki,काठमाडौं,kathmandu,3
मदन श्रेष्ठ,Madan Shrestha,काठमाडौं,kathmandu,3
रमेश अर्याल,Ramesh Aryal,काठमाडौं,kathmandu,3
राजु नाथ पाण्डे,Raju Nath Pandey,काठमाडौं,kathmandu,3
राम कृष्‍ण पुजारी,Ram Krishna Pujari,काठमाडौं,kathmandu,3
रामेश्‍वर फुयाल,Rameshwar Phuyal,काठमाडौं,kathmandu,3
रुप सागर देवी,Rup Sagar Devi,काठमाडौं,kathmandu,3
शेखर अर्याल,Shekhar Aryal,काठमाडौं,kathmandu,3
शेखर नाथ आचार्य,Shekhar Nath Acharya,काठमाडौं,kathmandu,3
श्रीकृष्‍ण वराल,Shrikrishna Baral,काठमाडौं,kathmandu,3
सज्‍जन आचार्य,Sajjan Acharya,काठमाडौं,kathmandu,3
सुन्दर राम बोहरा,Sundar Ram Bohra,काठमाडौं,kathmandu,3
सुरेश कुमार ढुङ्गाना,Suresh Kumar Dhunggana,काठमाडौं,kathmandu,3
सुवाश घिसीङ,Suvash Ghising,काठमाडौं,kathmandu,3
अर्चन शम्शेर राणा,Archan Shamsher Rana,काठमाडौं,kathmandu,4
आशा लाल श्रेष्‍ठ,Asha Lal Shrestha,काठमाडौं,kathmandu,4
आशिष श्रेष्‍ठ,Ashish Shrestha,काठमाडौं,kathmandu,4
इन्द्र कुमार भुसाल,Indra Kumar Bhusal,काठमाडौं,kathmandu,4
करिस्मा  खरेल ,Karisma Kharel,काठमाडौं,kathmandu,4
केदार बहादुर कार्की,Kedar Bahadur Karki,काठमाडौं,kathmandu,4
केम्श सिंह,Kemsh Singh,काठमाडौं,kathmandu,4
चेत बहादुर आले,Chet Bahadur Ale,काठमाडौं,kathmandu,4
छवि बहादुर खनाल,Chhabi Bahadur Khanal,काठमाडौं,kathmandu,4
झनक बहादुर अधिकारी,Jhanak Bahadur Adhikari,काठमाडौं,kathmandu,4
दत्त बुढा,Datta Budha,काठमाडौं,kathmandu,4
दीपेन्द्र कुमार काफ्ले,Dipendra Kumar Kaphle,काठमाडौं,kathmandu,4
देवराज पौडेल,Devraj Paudel,काठमाडौं,kathmandu,4
पुकार बम,Pukar Bam,काठमाडौं,kathmandu,4
पुजन गजुरेल,Pujan Gajurel,काठमाडौं,kathmandu,4
प्रेम कुमार राई,Prem Kumar Rai,काठमाडौं,kathmandu,4
बरुण अमात्य,Barun Amatya,काठमाडौं,kathmandu,4
मदन देव आचार्य,Madan Dev Acharya,काठमाडौं,kathmandu,4
मनोज अधिकारी,Manoj Adhikari,काठमाडौं,kathmandu,4
मुस्कान पौडेल,Muskan Paudel,काठमाडौं,kathmandu,4
राजन पुरी,Rajan Puri,काठमाडौं,kathmandu,4
राजन भट्टराई,Rajan Bhattarai,काठमाडौं,kathmandu,4
विनोद बाबु प्रधान,Vinod Babu Pradhan,काठमाडौं,kathmandu,4
श्‍याम कुमार भट्रराई खत्री,Shyam Kumar Bhatrai Khatri,काठमाडौं,kathmandu,4
संजिव दर्जी,Sanjiv Darji,काठमाडौं,kathmandu,4
सचिन तिमल्सेना,Sachin Timalsena,काठमाडौं,kathmandu,4
सिता तामाङ्ग,Sita Tamang,काठमाडौं,kathmandu,4
सुरेन्द्र राज भण्डारी,Surendra Raj Bhandari,काठमाडौं,kathmandu,4
अमित थापा,Amit Thapa,काठमाडौं,kathmandu,5
अशोक विक्रम जि सी,Ashok Vikram Ji Si,काठमाडौं,kathmandu,5
इश्वर पोखरेल,Ishwar Pokharel,काठमाडौं,kathmandu,5
कमल थापा,Kamal Thapa,काठमाडौं,kathmandu,5
कल्पना शर्मा,Kalpana Sharma,काठमाडौं,kathmandu,5
कोमल  पौडेल,Komal Paudel,काठमाडौं,kathmandu,5
क्यामुना मिजार,Kyamuna Mijar,काठमाडौं,kathmandu,5
ज्ञानेन्द्र प्रजापती,Gyanendra Prajapati,काठमाडौं,kathmandu,5
ढक बहादुर कार्की,Dhak Bahadur Karki,काठमाडौं,kathmandu,5
दानिन्द्र जोशी,Danindra Joshi,काठमाडौं,kathmandu,5
धर्म डंगोल,Dharm Dangol,काठमाडौं,kathmandu,5
निमेस खनाल,Nimes Khanal,काठमाडौं,kathmandu,5
नीशा अधिकारी,Nisha Adhikari,काठमाडौं,kathmandu,5
प्रदीप पौडेल,Pradip Paudel,काठमाडौं,kathmandu,5
प्रभा श्रेष्‍ठ,Prabha Shrestha,काठमाडौं,kathmandu,5
बसन्त राज कुँवर,Basanta Raj Kunwar,काठमाडौं,kathmandu,5
मिरा गुरुङ,Mira Gurung,काठमाडौं,kathmandu,5
युवराज काफ्ले,Yuvraj Kaphle,काठमाडौं,kathmandu,5
रमिता सापकोटा,Ramita Sapkota,काठमाडौं,kathmandu,5
रमेश तामाङ,Ramesh Tamang,काठमाडौं,kathmandu,5
विष्‍णु श्रेष्‍ठ,Vishnu Shrestha,काठमाडौं,kathmandu,5
शाेभा लाल श्रेष्ठ,Shobha Lal Shrestha,काठमाडौं,kathmandu,5
श्रीराम गुरुङ,Shriram Gurung,काठमाडौं,kathmandu,5
सस्मित पोखरेल,Sasmit Pokharel,काठमाडौं,kathmandu,5
स्याम काजी सुनुवार,Syam Kaji Sunuvar,काठमाडौं,kathmandu,5
अन्जु कारन्जीत (थापा),Anju Karanjit (Thapa),ललितपुर,lalitpur,3
अशोज कुमार महर्जन,Ashoj Kumar Maharjan,ललितपुर,lalitpur,3
ऋतुवर्तन राई,Rituvartana Rai,ललितपुर,lalitpur,3
कृष्ण देवि महर्जन,Krishna Devi Maharjan,ललितपुर,lalitpur,3
खगेन्द्र महर्जन,Khagendra Maharjan,ललितपुर,lalitpur,3
जितेन्द्र कुमार श्रेष्ठ,Jitendra Kumar Shrestha,ललितपुर,lalitpur,3
तोसीमा कार्की,Tosima Karki,ललितपुर,lalitpur,3
दिल कुमार महर्जन,Dil Kumar Maharjan,ललितपुर,lalitpur,3
निल गोविन्द महर्जन,Nil Govind Maharjan,ललितपुर,lalitpur,3
बिमर्श मिश्र,Bimarsha Mishra,ललितपुर,lalitpur,3
बिष्णु राज खड्का,Vishnu Raj Khadka,ललितपुर,lalitpur,3
यज्ञ प्रसाद पन्त,Yagya Prasad Pant,ललितपुर,lalitpur,3
रमिला महर्जन,Ramila Maharjan,ललितपुर,lalitpur,3
राज काजी महर्जन,Raj Kaji Maharjan,ललितपुर,lalitpur,3
राधे श्याम खड्का,Radhe Shyam Khadka,ललितपुर,lalitpur,3
रुपेस शाह,Rupesh Shah,ललितपुर,lalitpur,3
विजय पन्त,Vijay Pant,ललितपुर,lalitpur,3
श्याम बहादुर राई,Shyam Bahadur Rai,ललितपुर,lalitpur,3
सन्दन थापा मगर,Sandan Thapa Magar,ललितपुर,lalitpur,3
सबिन कुमार खड्का,Sabin Kumar Khadka,ललितपुर,lalitpur,3
अजय कुमार गुप्‍ता,Ajay Kumar Gupta,रौतहट,rautahat,1
अनिल कुमार झा,Anil Kumar Jha,रौतहट,rautahat,1
अभिषेक मिश्र,Abhishek Mishra,रौतहट,rautahat,1
अमृता कुमारी यादव,Amrita Kumari Yadav,रौतहट,rautahat,1
ईन्‍दु देवी गुप्‍ता,Indu Devi Gupta,रौतहट,rautahat,1
उमेश कुमार शाह,Umesh Kumar Shah,रौतहट,rautahat,1
जाजुल देवान,Jajul Dewan,रौतहट,rautahat,1
त्रिभुवन साह,Tribhuvan Sah,रौतहट,rautahat,1
दिनेश कुमार यादव,Dinesh Kumar Yadav,रौतहट,rautahat,1
दिनेश राय,Dinesh Ray,रौतहट,rautahat,1
देवेन्द्र मिश्र,Devendra Mishra,रौतहट,rautahat,1
प्रभा कुमारी सिंह,Prabha Kumari Singh,रौतहट,rautahat,1
बिबेक चौधरी,Bibek Chaudhary,रौतहट,rautahat,1
बैद्यनाथ प्रसाद चौधरी,Baidyanath Prasad Chaudhary,रौतहट,rautahat,1
माधव कुमार नेपाल,Madhav Kumar Nepal,रौतहट,rautahat,1
मुनिन्द्र कुमार ठाकुर,Munindra Kumar Thakur,रौतहट,rautahat,1
मृणाल कुमार शाह,Mrinal Kumar Shah,रौतहट,rautahat,1
मो तनवीर अखतर मिकरानी,Mo. Tanvir Akhtar Mikrani,रौतहट,rautahat,1
योगेन्द्र राय यादव,Yogendra Ray Yadav,रौतहट,rautahat,1
रवि अर्चनम् वर्मा,Ravi Archanam Varma,रौतहट,rautahat,1
राजाराम मुखिया,Rajaram Mukhiya,रौतहट,rautahat,1
राजु कुमार मुखिया,Raju Kumar Mukhiya,रौतहट,rautahat,1
राजेश कुमार चौधरी,Rajesh Kumar Chaudhary,रौतहट,rautahat,1
राधेश्याम साह तेली,Radheshyam Sah Teli,रौतहट,rautahat,1
राम किशोर ठाकुर,Ram Kishor Thakur,रौतहट,rautahat,1
राम नरेश राय  यादव,Ram Naresh Ray Yadav,रौतहट,rautahat,1
राम सेवक राय,Ram Sewak Ray,रौतहट,rautahat,1
रामकृत साह,Ramkrit Sah,रौतहट,rautahat,1
रामानन्द शर्मा,Ramananda Sharma,रौतहट,rautahat,1
र‌ंजित  कुमार  पटेल,Ranjit Kumar Patel,रौतहट,rautahat,1
लक्ष्‍मेश्‍वर नारायण साह,Lakshmeshwar Narayan Sah,रौतहट,rautahat,1
शम्भु प्रसाद,Shambhu Prasad,रौतहट,rautahat,1
श्याम वावु प्रसाद,Shyam Babu Prasad,रौतहट,rautahat,1
श्री मदन शाह,Shri Madan Shah,रौतहट,rautahat,1
संजय कुमार यादव,Sanjay Kumar Yadav,रौतहट,rautahat,1
संजय कुमार यादव,Sanjay Kumar Yadav,रौतहट,rautahat,1
संजीव कुमार यादव,Sanjiv Kumar Yadav,रौतहट,rautahat,1
सरोज कुमार कुशवाहा,Saroj Kumar Kushwaha,रौतहट,rautahat,1
सुनिल प्रसाद कुसवाह,Sunil Prasad Kuswah,रौतहट,rautahat,1
कुसुम देवी थापा,Kusum Devi Thapa,रुकुम (पूर्वी भाग),rukum_east,1
चन्द्र प्रसाद शाही,Chandra Prasad Shahi,रुकुम (पूर्वी भाग),rukum_east,1
जुद्ध बहादुर बुढा मगर,Juddh Bahadur Budha Magar,रुकुम (पूर्वी भाग),rukum_east,1
ज्योति रोका मगर,Jyoti Roka Magar,रुकुम (पूर्वी भाग),rukum_east,1
धर्म कुमार बुढा,Dharm Kumar Budha,रुकुम (पूर्वी भाग),rukum_east,1
पुष्प कमल दाहाल प्रचण्ड,Pushpa Kamal Dahal Prachanda,रुकुम (पूर्वी भाग),rukum_east,1
रोषण शाह,Roshan Shah,रुकुम (पूर्वी भाग),rukum_east,1
लखन कुमार थापा,Lakhan Kumar Thapa,रुकुम (पूर्वी भाग),rukum_east,1
लिलामणी गौतम,Lilamani Gautam,रुकुम (पूर्वी भाग),rukum_east,1
सन्दिप पुन,Sandip Pun,रुकुम (पूर्वी भाग),rukum_east,1
सिर बहादुर बुढा,Sir Bahadur Budha,रुकुम (पूर्वी भाग),rukum_east,1
उषा भट्टराई,Usha Bhattarai,रूपन्देही,rupandehi,2
कमल भुसाल,Kamal Bhusal,रूपन्देही,rupandehi,2
कमला बोहरा,Kamala Bohra,रूपन्देही,rupandehi,2
कमला शाह,Kamala Shah,रूपन्देही,rupandehi,2
केशव टण्‍डन,Keshav Tandan,रूपन्देही,rupandehi,2
केशव बहादुर थापा मगर,Keshav Bahadur Thapa Magar,रूपन्देही,rupandehi,2
गोकुल प्रसाद पाण्डे,Gokul Prasad Pandey,रूपन्देही,rupandehi,2
चन्द्र कुमारी गुरुङ्ग,Chandra Kumari Gurung,रूपन्देही,rupandehi,2
चुन्‍न प्रसाद शर्मा,Chunna Prasad Sharma,रूपन्देही,rupandehi,2
टिका बहादुर क्षेत्री,Tika Bahadur Chhetri,रूपन्देही,rupandehi,2
थम्मन बहादुर बुढा मगर,Thamman Bahadur Budha Magar,रूपन्देही,rupandehi,2
दिलीप कुमार सुनार,Dilip Kumar Sunar,रूपन्देही,rupandehi,2
दीपक गुरुङ्ग,Deepak Gurung,रूपन्देही,rupandehi,2
देवेन्द्र बहादुर खत्री,Devendra Bahadur Khatri,रूपन्देही,rupandehi,2
नारायण प्रसाद नागिला,Narayan Prasad Nagila,रूपन्देही,rupandehi,2
बाल कृष्ण ज्ञवाली,Bal Krishna Gyawali,रूपन्देही,rupandehi,2
बेल बहादुर कार्की,Bel Bahadur Karki,रूपन्देही,rupandehi,2
भानुभक्त भण्डारी,Bhanubhakta Bhandari,रूपन्देही,rupandehi,2
भिम बहादुर गौतम,Bhim Bahadur Gautam,रूपन्देही,rupandehi,2
मधुसुदन पन्थी,Madhusudan Panthi,रूपन्देही,rupandehi,2
रमेश लोध,Ramesh Lodh,रूपन्देही,rupandehi,2
राज कुमार भट्टराई,Raj Kumar Bhattarai,रूपन्देही,rupandehi,2
राजु पौडेल,Raju Paudel,रूपन्देही,rupandehi,2
रुक बहादुर पराजुली,Ruk Bahadur Parajuli,रूपन्देही,rupandehi,2
रोशिना ब्यान्जु,Roshina Byanju,रूपन्देही,rupandehi,2
लिला सिंह राना,Lila Singh Rana,रूपन्देही,rupandehi,2
विमला भट्टराई,Vimala Bhattarai,रूपन्देही,rupandehi,2
विरेन्द्र वि.क,Virendra B.K.,रूपन्देही,rupandehi,2
विष्णु प्रसाद वस्याल,Vishnu Prasad Basyal,रूपन्देही,rupandehi,2
विष्‍णु प्रसाद पौडेल,Vishnu Prasad Paudel,रूपन्देही,rupandehi,2
शन्जेश कुमार थापा,Shanjesh Kumar Thapa,रूपन्देही,rupandehi,2
शिव प्रिथी दमाई,Shiv Prithi Damai,रूपन्देही,rupandehi,2
शुभाष पाण्डे,Shubhash Pandey,रूपन्देही,rupandehi,2
शुशिला पुलामी,Shushila Pulami,रूपन्देही,rupandehi,2
सन्दिप पौडेल,Sandip Paudel,रूपन्देही,rupandehi,2
सिता कुवंर,Sita Kunwar,रूपन्देही,rupandehi,2
सिता साहि,Sita Sahi,रूपन्देही,rupandehi,2
सुरज पाण्‍डे,Suraj Pandey,रूपन्देही,rupandehi,2
सुलभ खरेल,Sulabh Kharel,रूपन्देही,rupandehi,2
अजय  कुमार  दास ,Ajay Kumar Das,सप्तरी,saptari,2
अनिश अंसारी,Anish Ansari,सप्तरी,saptari,2
अफरोज आलम,Afroz Alam,सप्तरी,saptari,2
अभिनाष कुमार सिंह,Abhinash Kumar Singh,सप्तरी,saptari,2
अम्‍विका देवी साफी,Ambika Devi Safi,सप्तरी,saptari,2
इन्द्रसागर गुप्‍ता,Indrasagar Gupta,सप्तरी,saptari,2
उमेश कुमार यादव,Umesh Kumar Yadav,सप्तरी,saptari,2
