CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName
सागर जोशी,Sagar Joshi,काठमाडौं,kathmandu,1
सुरेन्द्र प्रसाद ढकाल,Surendra Prasad Dhakal,काठमाडौं,kathmandu,1
सुरेन्‍द्र पाण्‍डे,Surendra Pandey,काठमाडौं,kathmandu,1
कुल बहादुर लामा,Kul Bahadur Lama,काठमाडौं,kathmandu,3
कुलमान घिसिङ्,Kulman Ghising,काठमाडौं,kathmandu,3
केशव नेपाल,Keshav Nepal,काठमाडौं,kathmandu,3
जित बहादुर तामाङ,Jit Bahadur Tamang,काठमाडौं,kathmandu,3
निरज लामा,Niraj Lama,काठमाडौं,kathmandu,3
प्रदिप काफ्ले,Pradip Kaphle,काठमाडौं,kathmandu,3
प्रनिल ध्वज कार्की,Pranil Dhwaj Karki,काठमाडौं,kathmandu,3
प्रेम छिरी शेर्पा,Prem Chhiri Sherpa,काठमाडौं,kathmandu,3
बाबु काजी कार्की,Babu Kaji Karki,काठमाडौं,kathmandu,3
मदन श्रेष्ठ,Madan Shrestha,काठमाडौं,kathmandu,3
रमेश अर्याल,Ramesh Aryal,काठमाडौं,kathmandu,3
राजु नाथ पाण्डे,Raju Nath Pandey,काठमाडौं,kathmandu,3
राम कृष्‍ण पुजारी,Ram Krishna Pujari,काठमाडौं,kathmandu,3
रामेश्‍वर फुयाल,Rameshwar Phuyal,काठमाडौं,kathmandu,3
रुप सागर देवी,Rup Sagar Devi,काठमाडौं,kathmandu,3
शेखर अर्याल,Shekhar Aryal,काठमाडौं,kathmandu,3
शेखर नाथ आचार्य,Shekhar Nath Acharya,काठमाडौं,kathmandu,3
श्रीकृष्‍ण वराल,Shrikrishna Baral,काठमाडौं,kathmandu,3
सज्‍जन आचार्य,Sajjan Acharya,काठमाडौं,kathmandu,3
सुन्दर राम बोहरा,Sundar Ram Bohra,काठमाडौं,kathmandu,3
सुरेश कुमार ढुङ्गाना,Suresh Kumar Dhunggana,काठमाडौं,kathmandu,3
सुवाश घिसीङ,Suvash Ghising,काठमाडौं,kathmandu,3
अन्जु कारन्जीत (थापा),Anju Karanjit (Thapa),ललितपुर,lalitpur,3
अशोज कुमार महर्जन,Ashoj Kumar Maharjan,ललितपुर,lalitpur,3
ऋतुवर्तन राई,Rituvartana Rai,ललितपुर,lalitpur,3
कृष्ण देवि महर्जन,Krishna Devi Maharjan,ललितपुर,lalitpur,3
खगेन्द्र महर्जन,Khagendra Maharjan,ललितपुर,lalitpur,3
जितेन्द्र कुमार श्रेष्ठ,Jitendra Kumar Shrestha,ललितपुर,lalitpur,3
तोसीमा कार्की,Tosima Karki,ललितपुर,lalitpur,3
दिल कुमार महर्जन,Dil Kumar Maharjan,ललितपुर,lalitpur,3
निल गोविन्द महर्जन,Nil Govind Maharjan,ललितपुर,lalitpur,3
बिमर्श मिश्र,Bimarsha Mishra,ललितपुर,lalitpur,3
बिष्णु राज खड्का,Vishnu Raj Khadka,ललितपुर,lalitpur,3
यज्ञ प्रसाद पन्त,Yagya Prasad Pant,ललितपुर,lalitpur,3
रमिला महर्जन,Ramila Maharjan,ललितपुर,lalitpur,3
राज काजी महर्जन,Raj Kaji Maharjan,ललितपुर,lalitpur,3
राधे श्याम खड्का,Radhe Shyam Khadka,ललितपुर,lalitpur,3
रुपेस शाह,Rupesh Shah,ललितपुर,lalitpur,3
विजय पन्त,Vijay Pant,ललितपुर,lalitpur,3
